고객ID,요금제,누적결제금액,최근주문경과일,만족도점수,이탈여부,이탈확률,위험등급
C101691,Premium,867000,3,4.1,0,0.094,낮음
C101692,Premium,2941300,38,3.0,0,0.512,중간
C101693,Basic,2167200,33,2.3,0,0.493,중간
C101694,Standard,1872200,0,3.2,0,0.117,낮음
C101695,Premium,3802700,43,4.4,0,0.272,낮음
C101696,Premium,3109900,15,2.6,0,0.303,중간
C101697,Premium,1291700,3,3.3,0,0.135,낮음
C101698,Basic,3866800,0,4.5,0,0.149,낮음
C101699,Standard,1598000,2,5.0,0,0.097,낮음
C101700,Standard,462200,13,2.4,0,0.677,높음
C101701,Standard,2732400,81,2.7,1,0.816,높음
C101702,Basic,2365200,39,4.3,0,0.62,높음
C101703,Basic,2841300,54,3.2,1,0.542,중간
C101704,Standard,285200,33,2.5,0,0.56,중간
C101705,Standard,2398900,40,4.1,0,0.244,낮음
C101706,Standard,550800,1,2.7,0,0.237,낮음
C101707,Premium,2508500,28,4.0,1,0.463,중간
C101708,Standard,1060200,2,2.9,0,0.164,낮음
C101709,Basic,6504400,0,2.7,0,0.158,낮음
C101710,Basic,422100,35,2.8,0,0.808,높음
C101711,Basic,3091500,0,1.3,0,0.355,중간
C101712,Basic,281600,4,3.0,0,0.391,중간
C101713,Basic,445000,35,4.6,0,0.412,중간
C101714,Basic,4905400,67,3.1,0,0.612,높음
C101715,Basic,6763800,9,3.7,0,0.387,중간
C101716,Standard,1324400,11,4.1,0,0.192,낮음
C101717,Basic,2895400,96,1.2,1,0.986,높음
C101718,Basic,997900,15,2.0,0,0.556,중간
C101719,Basic,334100,64,4.3,1,0.923,높음
C101720,Premium,2734700,0,2.8,0,0.138,낮음
C101721,Basic,254900,122,1.0,1,0.996,높음
C101722,Standard,1973400,15,4.4,0,0.123,낮음
C101723,Standard,706900,22,2.7,1,0.651,높음
C101724,Premium,2160600,2,3.3,0,0.105,낮음
C101725,Basic,360400,13,4.3,0,0.343,중간
C101726,Standard,759200,13,3.4,0,0.146,낮음
C101727,Premium,3726000,3,3.0,0,0.142,낮음
C101728,Basic,907200,50,1.0,0,0.878,높음
C101729,Basic,956300,9,3.8,0,0.264,낮음
C101730,Basic,404900,71,3.0,1,0.959,높음
C101731,Basic,148200,0,3.8,0,0.272,낮음
C101732,Standard,129600,0,3.9,1,0.225,낮음
C101733,Basic,504900,2,5.0,0,0.122,낮음
C101734,Basic,732000,19,2.8,1,0.696,높음
C101735,Standard,1302400,37,3.8,0,0.584,중간
C101736,Standard,1371200,0,2.8,0,0.192,낮음
C101737,Standard,711400,18,4.2,0,0.628,높음
C101738,Basic,2579500,58,4.9,0,0.772,높음
C101739,Premium,8045400,9,3.7,0,0.078,낮음
C101740,Basic,1045200,10,3.0,1,0.541,중간
C101741,Standard,233600,81,2.1,1,0.925,높음
C101742,Basic,297000,3,3.2,0,0.22,낮음
C101743,Standard,169100,14,1.8,0,0.63,높음
C101744,Basic,519100,33,1.6,1,0.879,높음
C101745,Standard,180000,20,4.0,0,0.391,중간
C101746,Standard,490300,0,2.7,0,0.29,낮음
C101747,Standard,812700,25,4.5,0,0.414,중간
C101748,Standard,470700,6,4.3,0,0.245,낮음
C101749,Standard,2078900,39,2.8,1,0.792,높음
C101750,Basic,2444800,25,4.0,0,0.388,중간
C101751,Basic,864300,36,3.9,1,0.5,중간
C101752,Basic,368600,23,3.3,0,0.55,중간
C101753,Standard,2227700,50,3.3,1,0.818,높음
C101754,Basic,338000,39,3.6,1,0.834,높음
C101755,Premium,1973800,32,4.0,0,0.307,중간
C101756,Standard,379200,38,4.3,0,0.355,중간
C101757,Standard,418600,32,2.1,0,0.586,중간
C101758,Basic,1694700,56,4.3,0,0.81,높음
C101759,Standard,408100,17,3.7,0,0.605,높음
C101760,Premium,6524600,0,4.2,0,0.046,낮음
C101761,Premium,227800,9,3.6,1,0.169,낮음
C101762,Premium,788100,61,3.0,1,0.71,높음
C101763,Basic,68400,16,2.2,0,0.833,높음
C101764,Basic,1353600,19,3.9,0,0.592,중간
C101765,Standard,1494900,21,2.6,0,0.373,중간
C101766,Basic,376200,29,4.4,0,0.527,중간
C101767,Basic,316800,74,1.9,1,0.974,높음
C101768,Premium,375500,12,3.6,0,0.164,낮음
C101769,Standard,567400,0,3.6,1,0.235,낮음
C101770,Basic,2219500,0,3.5,0,0.219,낮음
C101771,Standard,1936800,66,1.3,1,0.904,높음
C101772,Basic,75300,12,4.6,0,0.216,낮음
C101773,Basic,538500,29,3.1,0,0.471,중간
C101774,Basic,1769900,29,2.5,0,0.662,높음
C101775,Standard,34700,46,4.5,0,0.38,중간
C101776,Premium,10973600,0,4.6,0,0.023,낮음
C101777,Premium,5042900,20,2.9,0,0.356,중간
C101778,Basic,1202200,22,3.5,0,0.672,높음
C101779,Standard,658000,12,5.0,0,0.21,낮음
C101780,Standard,389000,0,1.8,1,0.351,중간
C101781,Premium,709600,56,5.0,0,0.62,높음
C101782,Premium,3072300,0,3.9,0,0.108,낮음
C101783,Standard,581700,53,2.5,0,0.767,높음
C101784,Standard,13749700,3,2.8,0,0.163,낮음
C101785,Standard,987800,2,5.0,0,0.076,낮음
C101786,Basic,330000,9,4.1,0,0.256,낮음
C101787,Premium,2606400,0,5.0,0,0.064,낮음
C101788,Basic,972000,40,3.6,0,0.559,중간
C101789,Basic,615400,39,3.0,1,0.764,높음
C101790,Standard,127400,19,5.0,0,0.426,중간
C101791,Premium,1955200,18,5.0,0,0.18,낮음
C101792,Premium,3924800,0,3.3,0,0.087,낮음
C101793,Basic,2277700,41,2.7,0,0.862,높음
C101794,Basic,865600,0,4.6,0,0.119,낮음
C101795,Premium,894400,56,3.9,0,0.399,중간
C101796,Basic,2639000,0,4.5,0,0.11,낮음
C101797,Basic,2539700,7,3.6,0,0.263,낮음
C101798,Basic,999200,28,3.5,0,0.409,중간
C101799,Standard,1523800,23,1.3,0,0.863,높음
C101800,Basic,1325200,23,3.2,0,0.493,중간
C101801,Basic,453600,0,2.3,0,0.45,중간
C101802,Premium,2251600,7,5.0,0,0.205,낮음
C101803,Standard,860000,28,4.2,1,0.399,중간
C101804,Basic,195400,6,3.3,0,0.351,중간
C101805,Premium,2552000,4,4.2,0,0.119,낮음
C101806,Standard,801900,41,4.3,0,0.661,높음
C101807,Standard,1662900,44,4.4,0,0.592,중간
C101808,Standard,958500,18,4.2,0,0.21,낮음
C101809,Premium,3480400,0,3.6,0,0.068,낮음
C101810,Basic,1550500,14,3.7,0,0.339,중간
C101811,Basic,684000,28,3.1,0,0.476,중간
C101812,Basic,425000,65,2.7,1,0.918,높음
C101813,Premium,4028000,23,2.9,0,0.483,중간
C101814,Standard,536600,56,5.0,0,0.485,중간
C101815,Premium,277900,24,3.5,0,0.257,낮음
C101816,Standard,1125700,6,2.7,0,0.313,중간
C101817,Basic,541200,14,3.8,1,0.55,중간
C101818,Standard,868000,2,2.9,0,0.199,낮음
C101819,Standard,556400,15,4.1,0,0.201,낮음
C101820,Basic,515100,36,2.7,1,0.701,높음
C101821,Standard,790000,59,2.6,1,0.825,높음
C101822,Standard,521600,24,2.0,0,0.545,중간
C101823,Basic,588600,7,2.1,0,0.442,중간
C101824,Premium,1023100,0,4.9,0,0.022,낮음
C101825,Basic,80500,26,4.4,0,0.524,중간
C101826,Standard,2012000,73,2.5,1,0.933,높음
C101827,Basic,7563300,6,4.6,0,0.114,낮음
C101828,Standard,40700,0,4.7,0,0.173,낮음
C101829,Standard,4376700,0,3.7,0,0.094,낮음
C101830,Basic,1251200,22,3.8,0,0.345,중간
C101831,Basic,916800,31,3.6,0,0.536,중간
C101832,Standard,771400,6,4.5,0,0.162,낮음
C101833,Premium,2796200,71,2.5,0,0.644,높음
C101834,Basic,1161600,0,3.4,1,0.16,낮음
C101835,Basic,198200,85,2.6,1,0.953,높음
C101836,Premium,2174900,0,4.1,0,0.049,낮음
C101837,Premium,2578000,0,3.8,0,0.065,낮음
C101838,Basic,1713600,15,5.0,0,0.147,낮음
C101839,Standard,419100,3,5.0,0,0.085,낮음
C101840,Standard,2827400,9,2.1,1,0.499,중간
C101841,Premium,3527300,19,3.3,0,0.14,낮음
C101842,Standard,138600,0,2.8,1,0.24,낮음
C101843,Standard,549800,0,5.0,0,0.088,낮음
C101844,Standard,671800,14,4.7,0,0.192,낮음
C101845,Standard,9292000,36,3.5,1,0.187,낮음
C101846,Basic,1435200,17,5.0,0,0.175,낮음
C101847,Basic,211200,0,3.4,0,0.407,중간
C101848,Standard,2108400,3,4.4,0,0.179,낮음
C101849,Basic,8969000,1,3.6,0,0.117,낮음
C101850,Basic,5140300,21,2.6,0,0.386,중간
C101851,Basic,478200,45,4.1,0,0.639,높음
C101852,Basic,1422000,15,4.1,1,0.474,중간
C101853,Basic,917800,12,2.7,1,0.43,중간
C101854,Standard,759900,9,2.8,1,0.227,낮음
C101855,Basic,386100,8,4.4,0,0.2,낮음
C101856,Premium,2373000,0,3.2,0,0.147,낮음
C101857,Basic,2422000,21,2.9,1,0.566,중간
C101858,Basic,1641700,0,3.3,0,0.132,낮음
C101859,Premium,2678800,8,3.9,0,0.185,낮음
C101860,Standard,1418600,20,2.9,1,0.542,중간
C101861,Standard,479500,38,3.5,1,0.759,높음
C101862,Standard,754600,0,4.3,0,0.119,낮음
C101863,Standard,1673300,13,3.7,0,0.221,낮음
C101864,Premium,2588900,0,3.9,0,0.08,낮음
C101865,Basic,103000,43,2.6,0,0.812,높음
C101866,Basic,2709100,17,2.9,0,0.51,중간
C101867,Standard,3912200,22,5.0,1,0.243,낮음
C101868,Standard,3603600,0,4.6,0,0.066,낮음
C101869,Standard,681600,38,4.1,0,0.586,중간
C101870,Standard,1119600,2,2.5,0,0.394,중간
C101871,Premium,2158000,0,2.7,0,0.149,낮음
C101872,Premium,1231200,29,5.0,0,0.078,낮음
C101873,Standard,925100,58,2.6,0,0.782,높음
C101874,Basic,272000,8,4.7,0,0.232,낮음
C101875,Premium,3993600,0,4.3,0,0.037,낮음
C101876,Premium,1369700,21,3.2,0,0.293,낮음
C101877,Basic,489700,39,3.1,1,0.712,높음
C101878,Basic,156800,16,3.6,0,0.649,높음
C101879,Basic,823700,0,2.3,1,0.391,중간
C101880,Standard,1377000,1,4.6,0,0.094,낮음
C101881,Standard,2147200,17,1.8,0,0.316,중간
C101882,Basic,413600,54,4.0,1,0.852,높음
C101883,Basic,720100,50,3.8,0,0.699,높음
C101884,Standard,1137600,20,2.9,0,0.481,중간
C101885,Basic,1355200,82,2.8,1,0.938,높음
C101886,Standard,466600,59,3.0,1,0.875,높음
C101887,Basic,1438800,54,4.9,0,0.513,중간
C101888,Standard,2482600,25,3.9,1,0.438,중간
C101889,Standard,738900,6,4.5,0,0.178,낮음
C101890,Standard,537600,17,2.0,1,0.569,중간
C101891,Basic,314600,5,3.4,0,0.215,낮음
C101892,Basic,2176200,16,3.1,0,0.634,높음
C101893,Basic,486400,19,2.7,1,0.56,중간
C101894,Basic,1162800,32,4.8,0,0.589,중간
C101895,Standard,611800,33,3.7,0,0.48,중간
C101896,Basic,2953500,19,4.5,0,0.419,중간
C101897,Basic,916200,16,4.6,0,0.459,중간
C101898,Basic,349000,19,3.0,0,0.746,높음
C101899,Basic,4040600,53,2.1,1,0.745,높음
C101900,Basic,695600,14,5.0,0,0.396,중간
C101901,Basic,145200,27,3.1,0,0.664,높음
C101902,Basic,757700,0,3.0,0,0.285,낮음
C101903,Standard,273900,5,4.5,0,0.223,낮음
C101904,Basic,434700,1,2.5,0,0.389,중간
C101905,Standard,486100,102,2.5,0,0.978,높음
C101906,Basic,430400,5,4.7,0,0.198,낮음
C101907,Standard,1499000,26,3.1,0,0.462,중간
C101908,Premium,184600,37,2.9,0,0.466,중간
C101909,Standard,1308700,34,2.5,0,0.556,중간
C101910,Basic,700600,7,1.4,0,0.422,중간
C101911,Premium,962800,46,5.0,0,0.207,낮음
C101912,Standard,288600,19,1.4,0,0.634,높음
C101913,Basic,1071000,12,3.7,1,0.503,중간
C101914,Premium,2812300,48,3.7,0,0.59,중간
C101915,Standard,661300,0,3.8,0,0.16,낮음
C101916,Basic,1283000,45,3.4,1,0.716,높음
C101917,Basic,100000,2,2.9,0,0.42,중간
C101918,Premium,1341600,38,1.7,0,0.584,중간
C101919,Premium,2430000,0,5.0,0,0.043,낮음
C101920,Basic,619600,23,2.4,0,0.778,높음
C101921,Basic,684900,87,2.8,1,0.963,높음
C101922,Basic,299300,68,3.1,1,0.897,높음
C101923,Basic,935000,29,1.5,1,0.81,높음
C101924,Standard,2817800,87,3.9,0,0.818,높음
C101925,Basic,620000,73,2.0,1,0.961,높음
C101926,Standard,2259400,52,3.9,0,0.439,중간
C101927,Standard,1173000,20,3.9,0,0.354,중간
C101928,Standard,468000,19,4.5,0,0.424,중간
C101929,Basic,499000,13,5.0,0,0.27,낮음
C101930,Basic,1056000,0,1.6,0,0.489,중간
C101931,Basic,499600,0,3.6,0,0.261,낮음
C101932,Standard,1721800,27,5.0,0,0.331,중간
C101933,Basic,1121800,31,3.9,0,0.386,중간
C101934,Basic,2012800,24,3.4,0,0.537,중간
C101935,Standard,1034200,15,2.3,1,0.465,중간
C101936,Standard,2425600,22,3.3,0,0.362,중간
C101937,Premium,2601600,21,3.7,1,0.275,낮음
C101938,Standard,4153000,67,3.7,0,0.85,높음
C101939,Premium,743600,32,3.5,0,0.179,낮음
C101940,Premium,2557800,1,3.5,0,0.118,낮음
C101941,Basic,3252000,36,4.4,0,0.333,중간
C101942,Premium,647200,15,3.5,0,0.256,낮음
C101943,Basic,1184000,32,4.9,0,0.339,중간
C101944,Premium,695300,12,1.5,1,0.6,중간
C101945,Standard,11700,55,3.8,1,0.904,높음
C101946,Basic,1251200,3,4.2,0,0.252,낮음
C101947,Standard,3665200,31,3.6,0,0.293,낮음
C101948,Standard,3590400,23,3.2,0,0.414,중간
C101949,Standard,432100,35,3.5,0,0.549,중간
C101950,Standard,2905800,59,4.9,0,0.552,중간
C101951,Standard,2920300,4,5.0,0,0.071,낮음
C101952,Standard,483000,15,3.9,0,0.427,중간
C101953,Standard,1725500,41,4.1,0,0.377,중간
C101954,Basic,1135000,18,2.1,0,0.681,높음
C101955,Basic,2068600,48,4.4,0,0.54,중간
C101956,Standard,2913800,1,4.0,0,0.113,낮음
C101957,Basic,2005500,15,4.6,0,0.169,낮음
C101958,Basic,1822000,6,4.5,0,0.131,낮음
C101959,Standard,6528500,3,3.1,0,0.145,낮음
C101960,Premium,1836800,15,4.3,0,0.102,낮음
C101961,Basic,183000,32,4.1,0,0.504,중간
C101962,Basic,499800,9,4.8,1,0.313,중간
C101963,Premium,1818000,0,3.7,0,0.101,낮음
C101964,Basic,1353600,55,3.7,0,0.58,중간
C101965,Basic,1497600,72,3.3,1,0.824,높음
C101966,Standard,495400,0,5.0,0,0.134,낮음
C101967,Standard,1861200,0,3.4,0,0.101,낮음
C101968,Basic,346500,0,3.8,0,0.15,낮음
C101969,Basic,1527700,0,4.3,0,0.136,낮음
C101970,Standard,164700,30,5.0,0,0.411,중간
C101971,Premium,5670100,5,3.1,0,0.12,낮음
C101972,Basic,1227100,60,2.9,1,0.81,높음
C101973,Premium,337900,43,3.6,0,0.645,높음
C101974,Standard,144900,25,4.3,0,0.311,중간
C101975,Standard,1226400,37,3.8,0,0.62,높음
C101976,Basic,1074200,7,4.4,0,0.165,낮음
C101977,Premium,663000,0,3.8,0,0.121,낮음
C101978,Premium,4023200,22,4.2,0,0.215,낮음
C101979,Premium,6422000,8,3.7,0,0.078,낮음
C101980,Basic,358200,23,2.9,0,0.557,중간
C101981,Basic,570000,62,3.7,1,0.795,높음
C101982,Basic,1317700,17,3.4,0,0.565,중간
C101983,Standard,419400,31,3.7,0,0.489,중간
C101984,Basic,727400,21,3.6,1,0.646,높음
C101985,Basic,3066000,7,3.2,0,0.123,낮음
C101986,Basic,1385700,2,3.2,0,0.256,낮음
C101987,Basic,1020600,46,4.1,0,0.542,중간
C101988,Basic,1710000,13,2.1,0,0.506,중간
C101989,Basic,962200,45,3.4,1,0.778,높음
C101990,Premium,820100,45,4.2,0,0.565,중간
C101991,Basic,815800,25,3.6,0,0.43,중간
C101992,Basic,220800,5,4.4,0,0.254,낮음
C101993,Standard,3436200,43,2.8,0,0.686,높음
C101994,Basic,658800,11,4.3,0,0.268,낮음
C101995,Basic,834400,10,2.8,0,0.579,중간
C101996,Basic,427700,10,2.6,0,0.437,중간
C101997,Basic,710200,22,4.3,0,0.367,중간
C101998,Basic,656100,47,3.0,1,0.853,높음
C101999,Basic,1439200,5,4.6,0,0.13,낮음
C102000,Basic,2160500,0,2.9,0,0.233,낮음
C102001,Premium,1990800,24,5.0,0,0.245,낮음
C102002,Basic,209300,22,1.9,1,0.744,높음
C102003,Basic,920000,5,4.5,0,0.189,낮음
C102004,Standard,1153600,17,5.0,0,0.212,낮음
C102005,Standard,1598800,24,4.5,0,0.339,중간
C102006,Basic,443500,9,3.5,0,0.335,중간
C102007,Basic,4357100,0,3.1,0,0.17,낮음
C102008,Standard,2563200,0,4.0,0,0.096,낮음
C102009,Basic,1901300,49,3.6,0,0.687,높음
C102010,Basic,5858400,0,3.0,0,0.127,낮음
C102011,Premium,1459200,47,3.1,0,0.663,높음
C102012,Standard,1385100,1,3.5,0,0.133,낮음
C102013,Basic,1349000,5,5.0,0,0.15,낮음
C102014,Basic,952200,108,3.5,0,0.939,높음
C102015,Standard,728000,52,3.3,1,0.879,높음
C102016,Standard,1079000,47,3.9,0,0.476,중간
C102017,Standard,629600,0,2.9,0,0.233,낮음
C102018,Basic,854100,0,3.0,0,0.268,낮음
C102019,Basic,1084700,14,4.7,0,0.222,낮음
C102020,Basic,663000,11,2.9,0,0.353,중간
C102021,Basic,2915800,0,4.2,0,0.143,낮음
C102022,Basic,2980000,17,4.0,0,0.382,중간
C102023,Basic,1065000,78,1.7,1,0.94,높음
C102024,Standard,995500,14,3.3,0,0.156,낮음
C102025,Standard,1276800,51,3.4,1,0.834,높음
C102026,Standard,280400,17,2.2,0,0.437,중간
C102027,Basic,1837000,7,2.6,1,0.408,중간
C102028,Basic,2709400,20,4.2,0,0.334,중간
C102029,Basic,2369200,0,4.2,0,0.186,낮음
C102030,Standard,1087900,19,3.6,0,0.611,높음
C102031,Premium,3583800,27,3.4,1,0.434,중간
C102032,Basic,4801300,28,3.0,0,0.562,중간
C102033,Basic,1772400,22,5.0,1,0.356,중간
C102034,Standard,3172200,24,2.9,0,0.428,중간
C102035,Premium,2443600,29,3.0,0,0.229,낮음
C102036,Basic,518400,0,2.7,1,0.357,중간
C102037,Standard,959900,15,5.0,0,0.162,낮음
C102038,Standard,2619500,9,3.6,0,0.193,낮음
C102039,Standard,536400,0,3.3,0,0.256,낮음
C102040,Premium,2196400,0,5.0,0,0.066,낮음
C102041,Basic,255200,28,4.0,0,0.44,중간
C102042,Standard,1151600,0,3.6,0,0.2,낮음
C102043,Basic,123800,36,3.4,0,0.828,높음
C102044,Standard,609000,57,2.9,0,0.853,높음
C102045,Premium,4082500,0,2.2,0,0.16,낮음
C102046,Premium,11064000,13,3.3,0,0.269,낮음
C102047,Basic,1024900,40,5.0,0,0.626,높음
C102048,Premium,1746400,28,5.0,0,0.204,낮음
C102049,Basic,817700,0,2.9,0,0.325,중간
C102050,Basic,709000,27,2.7,0,0.609,높음
C102051,Standard,110900,0,2.9,0,0.28,낮음
C102052,Basic,326700,0,3.6,0,0.387,중간
C102053,Premium,864000,20,4.3,0,0.171,낮음
C102054,Premium,1702100,14,4.6,1,0.214,낮음
C102055,Basic,1829900,7,3.0,0,0.33,중간
C102056,Premium,786500,63,2.1,0,0.912,높음
C102057,Standard,1916000,10,1.4,0,0.518,중간
C102058,Basic,798700,4,4.6,0,0.164,낮음
C102059,Premium,3751400,24,4.1,0,0.235,낮음
C102060,Standard,2425300,0,2.2,0,0.174,낮음
C102061,Basic,560700,32,3.8,1,0.647,높음
C102062,Standard,771400,21,3.6,0,0.299,낮음
C102063,Premium,2066600,0,4.7,0,0.036,낮음
C102064,Basic,735900,13,3.5,0,0.417,중간
C102065,Premium,5023200,74,4.3,0,0.637,높음
C102066,Basic,236600,27,2.9,0,0.795,높음
C102067,Premium,3799000,0,3.3,0,0.112,낮음
C102068,Standard,50200,44,2.9,0,0.758,높음
C102069,Standard,480600,1,3.5,0,0.265,낮음
C102070,Basic,807100,4,4.7,0,0.13,낮음
C102071,Standard,415800,0,4.1,0,0.122,낮음
C102072,Standard,180500,3,3.8,0,0.133,낮음
C102073,Standard,1451500,0,3.9,0,0.165,낮음
C102074,Premium,3033800,64,3.4,0,0.646,높음
C102075,Premium,2693200,14,4.4,0,0.164,낮음
C102076,Basic,1012300,0,5.0,0,0.102,낮음
C102077,Standard,1295400,37,2.0,1,0.738,높음
C102078,Standard,193200,19,2.8,1,0.596,중간
C102079,Standard,252000,47,3.4,0,0.786,높음
C102080,Standard,623500,1,4.3,0,0.209,낮음
C102081,Premium,1903300,15,3.4,0,0.355,중간
C102082,Standard,2534400,79,2.8,1,0.825,높음
C102083,Basic,652700,11,5.0,0,0.217,낮음
C102084,Basic,10400,35,4.7,0,0.696,높음
C102085,Standard,553800,0,4.3,0,0.134,낮음
C102086,Standard,765000,16,3.8,0,0.266,낮음
C102087,Standard,149800,0,3.2,0,0.236,낮음
C102088,Basic,3549000,13,5.0,0,0.172,낮음
C102089,Standard,830700,2,4.0,0,0.209,낮음
C102090,Standard,3402900,58,2.5,1,0.83,높음
C102091,Premium,805000,32,1.7,0,0.425,중간
C102092,Standard,1527100,13,5.0,0,0.108,낮음
C102093,Basic,3255800,6,4.2,1,0.314,중간
C102094,Standard,2354800,30,3.0,0,0.445,중간
C102095,Basic,1494200,29,3.6,1,0.505,중간
C102096,Basic,578000,0,3.6,0,0.305,중간
C102097,Standard,44200,0,3.9,0,0.249,낮음
C102098,Basic,453600,16,4.7,0,0.353,중간
C102099,Standard,3114900,13,4.4,0,0.141,낮음
C102100,Basic,813400,0,3.8,0,0.196,낮음
C102101,Standard,780500,1,3.0,0,0.248,낮음
C102102,Standard,742500,5,4.0,0,0.171,낮음
C102103,Premium,3887400,16,4.7,0,0.175,낮음
C102104,Basic,285100,4,3.6,0,0.304,중간
C102105,Premium,4107100,19,3.8,0,0.099,낮음
C102106,Standard,2259600,22,4.7,0,0.399,중간
C102107,Standard,293400,13,4.2,0,0.361,중간
C102108,Standard,1540000,40,4.4,1,0.528,중간
C102109,Premium,536500,39,4.1,0,0.44,중간
C102110,Premium,904300,95,2.4,0,0.877,높음
C102111,Standard,330300,35,3.8,1,0.744,높음
C102112,Basic,2956800,14,3.9,0,0.435,중간
C102113,Standard,1955200,7,4.1,0,0.148,낮음
C102114,Standard,862500,0,3.9,0,0.101,낮음
C102115,Basic,886200,11,2.7,0,0.66,높음
C102116,Basic,226500,0,3.6,0,0.301,중간
C102117,Basic,1255800,15,5.0,0,0.257,낮음
C102118,Premium,9426800,0,2.8,0,0.08,낮음
C102119,Basic,1441300,20,2.7,0,0.778,높음
C102120,Standard,1420700,7,4.9,0,0.217,낮음
C102121,Standard,383100,48,2.6,1,0.71,높음
C102122,Basic,1114600,48,3.9,1,0.724,높음
C102123,Basic,1165800,15,3.1,0,0.384,중간
C102124,Premium,1019500,2,4.1,0,0.074,낮음
C102125,Premium,1422200,0,3.9,0,0.087,낮음
C102126,Premium,5950800,18,2.5,0,0.219,낮음
C102127,Standard,2249100,24,3.4,0,0.473,중간
C102128,Premium,1204600,49,5.0,0,0.279,낮음
C102129,Basic,678900,6,1.9,0,0.504,중간
C102130,Basic,486100,28,2.2,1,0.822,높음
C102131,Standard,303800,17,3.6,0,0.616,높음
C102132,Basic,6160500,15,3.5,0,0.356,중간
C102133,Basic,210200,0,3.0,0,0.302,중간
C102134,Basic,3511200,41,3.1,0,0.372,중간
C102135,Basic,104900,0,4.8,0,0.214,낮음
C102136,Standard,4620800,26,4.1,0,0.43,중간
C102137,Basic,2849700,0,3.9,1,0.113,낮음
C102138,Standard,92400,96,3.6,1,0.934,높음
C102139,Basic,588600,60,3.6,0,0.819,높음
C102140,Standard,168000,30,3.2,0,0.411,중간
C102141,Standard,568800,23,2.5,0,0.711,높음
C102142,Basic,434000,46,3.7,1,0.865,높음
C102143,Standard,34500,85,1.7,1,0.967,높음
C102144,Basic,941800,16,2.4,0,0.725,높음
C102145,Standard,350400,16,3.6,1,0.568,중간
C102146,Basic,217900,17,2.5,0,0.786,높음
C102147,Standard,142800,15,2.6,0,0.414,중간
C102148,Premium,6171200,0,3.5,0,0.038,낮음
C102149,Standard,3629400,25,3.6,1,0.266,낮음
C102150,Basic,2548300,34,4.0,1,0.476,중간
C102151,Basic,518500,51,3.5,1,0.683,높음
C102152,Standard,855000,9,3.6,0,0.257,낮음
C102153,Standard,369600,9,3.4,0,0.3,낮음
C102154,Standard,1328000,23,3.2,0,0.385,중간
C102155,Standard,2812300,34,2.5,0,0.562,중간
C102156,Standard,1746600,64,1.8,1,0.942,높음
C102157,Premium,2810600,0,4.2,0,0.067,낮음
C102158,Premium,1445400,10,4.8,0,0.07,낮음
C102159,Standard,4726300,0,3.3,0,0.125,낮음
C102160,Basic,1449200,14,2.8,0,0.629,높음
C102161,Basic,1011000,19,2.7,1,0.752,높음
C102162,Premium,2219400,3,3.0,0,0.073,낮음
C102163,Basic,521600,33,2.5,0,0.662,높음
C102164,Basic,1360800,0,3.6,0,0.205,낮음
C102165,Standard,423300,19,4.7,0,0.426,중간
C102166,Basic,3690100,10,3.1,0,0.265,낮음
C102167,Premium,1737100,1,3.8,0,0.112,낮음
C102168,Standard,27600,24,5.0,0,0.42,중간
C102169,Standard,649700,10,2.9,0,0.254,낮음
C102170,Basic,2346300,24,2.3,0,0.442,중간
C102171,Standard,912900,34,2.8,0,0.319,중간
C102172,Basic,157500,29,2.3,0,0.793,높음
C102173,Basic,1498000,13,3.0,1,0.583,중간
C102174,Standard,1222200,41,3.7,1,0.58,중간
C102175,Basic,528200,13,3.6,1,0.556,중간
C102176,Basic,359600,14,1.9,0,0.508,중간
C102177,Basic,210000,0,2.2,0,0.394,중간
C102178,Standard,4392300,8,3.8,0,0.304,중간
C102179,Standard,3329900,10,4.6,0,0.234,낮음
C102180,Premium,3610000,0,5.0,0,0.046,낮음
C102181,Standard,1260600,53,2.7,1,0.88,높음
C102182,Standard,2379000,43,3.1,1,0.714,높음
C102183,Basic,113000,16,3.6,1,0.662,높음
C102184,Basic,526900,31,4.2,0,0.509,중간
C102185,Premium,4222800,14,3.6,0,0.072,낮음
C102186,Basic,384700,14,4.5,0,0.534,중간
C102187,Standard,1148000,0,4.8,0,0.102,낮음
C102188,Basic,1716000,16,3.5,0,0.389,중간
C102189,Standard,2693200,29,2.6,0,0.724,높음
C102190,Standard,1003200,1,3.9,0,0.14,낮음
C102191,Standard,847800,0,1.8,0,0.338,중간
C102192,Standard,1017900,59,3.9,1,0.802,높음
C102193,Standard,1606200,9,3.5,0,0.265,낮음
C102194,Standard,1443400,2,3.0,0,0.171,낮음
C102195,Standard,717500,8,5.0,0,0.173,낮음
C102196,Standard,730700,73,1.4,1,0.912,높음
C102197,Standard,340800,29,3.4,0,0.452,중간
C102198,Basic,452000,11,3.6,0,0.348,중간
C102199,Premium,588400,15,3.4,0,0.189,낮음
C102200,Basic,211500,6,4.5,0,0.202,낮음
C102201,Premium,2337200,43,2.0,1,0.814,높음
C102202,Standard,1723400,0,3.6,0,0.163,낮음
C102203,Basic,1666300,59,4.6,1,0.802,높음
C102204,Basic,932400,17,3.5,0,0.307,중간
C102205,Basic,958100,45,3.4,1,0.709,높음
C102206,Standard,1016900,23,4.2,0,0.202,낮음
C102207,Basic,788000,0,2.7,0,0.362,중간
C102208,Premium,1802700,27,4.8,0,0.342,중간
