년월일,최대순간풍속(m/s),평균기온(℃),최저기온(℃),최고기온(℃),일강수량(mm),최저습도(%),최고습도(%),최저기압(hPa),최고기압(hPa)
2019-11-23,5.8,12.7,7.7,17.7,0,39,63,"1,021.30","1,026.80"
2019-11-24,10,10.1,4.6,15.6,3.8,49,95,"1,016.70","1,026.10"
2019-11-25,9.9,2.4,-1.2,6,0,48,73,"1,026.10","1,031.20"
2019-11-26,3.6,7.5,1.2,13.7,0,43,76,1026.9,"1,031.40"
2019-11-27,7.2,3.6,0.3,6.8,0,33,77,"1,026.60","1,029.90"
2019-11-28,7.8,4.9,-0.6,10.4,0,35,63,"1,028.20","1,031"
2019-11-29,6.2,1.8,-3.4,6.9,0,21,68,"1,030.70","1,033.20"
2019-11-30,6.3,4,-1.4,9.3,0,22,57,"1,026.50","1,032"
2019-12-01,7.2,4.3,2.3,6.2,3.3,51,94,"1,019.30","1,026.50"
2019-12-02,10.9,-0.2,-3.2,2.8,0,25,81,"1,019.50","1,026.30"
2019-12-03,5.7,-0.4,-5,4.2,0.6,41,85,"1,023.70","1,026.40"
2019-12-04,8.3,2.6,-2,7.2,0,21,85,"1,026","1,032.70"
2019-12-05,10.5,-4.4,-8.5,-0.2,0,17,53,"1,032.70","1,039.50"
2019-12-06,6,-5.8,-10.6,-1,0,19,51,"1,033","1,039.40"
2019-12-07,5.7,-2.2,-5.5,1.2,0.1,48,77,"1,028.10","1,033.10"
2019-12-08,5.6,-0.3,-5.5,4.9,0,30,88,"1,027.50","1,030.90"
2019-12-09,7,3.4,-1.3,8,0,48,65,"1,020.50","1,027.70"
2019-12-10,5.8,8.4,6,10.8,1.7,65,95,"1,017.20","1,021.40"
2019-12-11,11.8,5,0.1,9.8,0.2,36,87,"1,014.30","1,023.80"
2019-12-12,8.7,-0.1,-3.5,3.4,0,23,60,"1,023.70","1,031"
2019-12-13,7.3,1.1,-3.7,5.9,1,35,80,"1,021.70","1,030.70"
2019-12-14,7.3,3.2,-0.1,6.4,0,36,87,"1,021.60","1,030.60"
2019-12-15,6.8,5.7,0.4,11,0,36,64,"1,026.60","1,031.30"
2019-12-16,5.5,7.5,2.1,12.9,0,41,76,"1,017.40","1,026.80"
2019-12-17,8.5,6.7,3.2,10.2,9.8,57,97,"1,013.10","1,020.20"
2019-12-18,8,1.8,-1.7,5.2,0,46,80,"1,020.10","1,026.10"
2019-12-19,7.3,-0.7,-4.5,3.1,0,29,69,"1,025","1,027.80"
2019-12-20,7.3,-0.8,-3.5,2,0,19,68,"1,027.30","1,031.30"
2019-12-21,5.2,-1.8,-5.1,1.5,0.6,42,92,"1,024.20","1,031"
2019-12-22,5.9,4.4,0.3,8.4,0.3,47,84,"1,016.90","1,025.40"
2019-12-23,7.9,2.8,0.3,5.2,2.9,57,94,"1,017.20","1,026.80"
2019-12-24,4.7,1.8,-2.9,6.5,0,43,88,"1,026","1,029.60"
2019-12-25,5.3,2,-2.7,6.6,0,34,81,"1,021","1,026.90"
2019-12-26,9,0.9,-2.4,4.1,0.3,42,84,"1,015.10","1,021.20"
2019-12-27,7.7,-1,-4.6,2.6,0,23,64,"1,019.80","1,027.90"
2019-12-28,5.8,1.3,-3.6,6.1,0,34,60,"1,027.40","1,029.40"
2019-12-29,6.6,3.7,1.1,6.2,1.4,37,81,"1,022.80","1,029.20"
2019-12-30,13.1,0.6,-5.7,6.8,0.4,43,90,"1,020.80","1,029.60"
2019-12-31,10.8,-7.7,-10.9,-4.5,0,26,68,"1,029.50","1,037.30"
2020-01-01,4.8,-3.1,-6.5,0.3,0.1,37,77,"1,031.20","1,034"
2020-01-02,6.7,1.6,-0.7,3.8,0,54,75,"1,028.20","1,031.30"
2020-01-03,5.8,0.6,-3.4,4.6,0,26,87,"1,025.80","1,029"
2020-01-04,8.5,1.7,-2.8,6.1,0,32,66,"1,024.40","1,028.40"
2020-01-05,4.4,1.7,-3.2,6.6,0,28,66,"1,028.10","1,032.60"
2020-01-06,8.8,2.6,0.6,4.6,1.8,39,95,"1,020.50","1,030.30"
2020-01-07,9.5,6,4.2,7.7,46.3,93,96,997.8,"1,020.50"
2020-01-08,11.8,4.3,-0.4,8.9,11.6,73,97,997.4,"1,023.30"
2020-01-09,7.2,-0.6,-3.1,2,0,47,77,"1,022.80","1,025.90"
2020-01-10,5.5,0,-4.3,4.2,0,36,83,"1,022.10","1,026.20"
2020-01-11,7,0.7,-2.6,3.9,0,35,82,"1,018.50","1,022.60"
2020-01-12,6.7,-0.4,-3.5,2.8,0,38,76,"1,016.80","1,020.60"
2020-01-13,8.3,-2.3,-4.7,0.2,0,28,76,"1,020","1,026"
2020-01-14,5.5,-1.6,-5.7,2.6,0,20,65,"1,024.20","1,028.10"
2020-01-15,8,-2.1,-6.4,2.2,0,24,62,"1,027.40","1,030"
2020-01-16,6.9,-1.2,-5.5,3.2,0,24,57,"1,025.30","1,029.30"
2020-01-17,6.7,0.1,-4.8,4.9,0,27,59,"1,021.60","1,025.70"
2020-01-18,6.8,0.9,-4.1,5.9,0,17,69,"1,020.20","1,023.10"
2020-01-19,10.9,2.5,-0.4,5.3,0.6,42,91,"1,016.60","1,020.90"
2020-01-20,10.4,1.1,-3.3,5.5,0,24,74,"1,020.30","1,028.50"
2020-01-21,5.6,0,-5.6,5.5,0,19,56,"1,028.10","1,032.40"
2020-01-22,6.3,3.9,-0.1,7.8,0,22,50,"1,022.90","1,028.90"
2020-01-23,6.9,5,0,9.9,0,32,64,"1,022","1,027.20"
2020-01-24,6.4,3.1,-1.3,7.4,0,43,84,"1,027.20","1,031.70"
2020-01-25,6.8,4.7,0.6,8.8,0,49,78,"1,027.20","1,031.10"
2020-01-26,11.1,5.9,-0.2,11.9,0,31,81,"1,024.60","1,029.50"
2020-01-27,13.7,6.2,4.8,7.5,0.1,35,69,"1,018.30","1,025.80"
2020-01-28,8.8,7.1,4.3,9.9,0,37,73,"1,016.90","1,019.60"
2020-01-29,5.8,6.4,3.2,9.6,0,35,58,"1,013.80","1,018.80"
2020-01-30,5.7,5.9,1.4,10.4,0,30,63,"1,013.30","1,016.90"
2020-01-31,8.1,5.2,1.4,8.9,0,41,69,"1,016.80","1,022.60"
2020-02-01,7.7,3.2,-1.2,7.6,0,43,82,"1,022.20","1,025.40"
2020-02-02,7.3,1.6,-2.1,5.3,0,24,79,"1,023.90","1,027.40"
2020-02-03,9,0.1,-2.9,3,0,23,65,"1,024.80","1,029.40"
2020-02-04,10.8,-1.1,-6,3.9,1.7,32,93,"1,023.30","1,029.20"
2020-02-05,10.2,-8,-11,-4.9,0,27,48,"1,027.80","1,035"
2020-02-06,7,-5.7,-11.8,0.4,0,19,50,"1,032.20","1,036.70"
2020-02-07,6.9,-2.5,-7.2,2.2,0,14,74,"1,026.90","1,032.40"
2020-02-08,8.9,0.7,-2.3,3.7,0,29,74,"1,025.80","1,028.90"
2020-02-09,8,-0.8,-5.6,4.1,0,24,70,"1,022.50","1,029"
2020-02-10,7.8,4.5,-0.7,9.6,0,25,79,"1,021.60","1,027.50"
2020-02-11,5.7,7.1,-0.5,14.6,0,17,63,"1,024.60","1,029.10"
2020-02-12,7.9,7.4,6.5,8.2,6.7,31,96,"1,012.30","1,024.70"
2020-02-13,5.3,6.8,4.9,8.7,0,69,97,"1,014.70","1,021.50"
2020-02-14,4.9,9,3.2,14.7,0,41,94,"1,018.70","1,022.80"
2020-02-15,9,10.9,6.2,15.6,2,37,95,"1,011.90","1,022.90"
2020-02-16,11.5,1.7,-4.3,7.7,13.4,59,96,"1,011.40","1,016.20"
2020-02-17,6.6,-5.5,-7.1,-3.9,0,27,60,"1,023","1,029.90"
2020-02-18,9.4,-3.5,-8.3,1.3,1,52,85,"1,015.80","1,023.30"
2020-02-19,5.4,1,-4.4,6.4,0,35,68,"1,029","1,031.30"
2020-02-20,6,5.1,-0.6,10.8,0,35,81,"1,030.80","1,035.30"
2020-02-21,9.7,6.5,2.1,10.9,4.2,40,93,"1,022.10","1,034.80"
2020-02-22,14.4,4,0,7.9,3.1,40,94,"1,021.40","1,029.90"
2020-02-23,8.1,2.8,-2.5,8,0,25,70,"1,026.80","1,031.20"
2020-02-24,6.2,6.5,0.8,12.2,0,35,69,"1,021.10","1,027.50"
2020-02-25,12.4,7.1,4.7,9.4,16.6,58,94,"1,014.80","1,021.10"
2020-02-26,6.6,6.6,2.8,10.4,0,39,75,"1,020.40","1,026.20"
2020-02-27,7,6.9,1.3,12.5,0,27,76,"1,026.10","1,029.70"
2020-02-28,8.1,4.8,3.6,5.9,3.9,43,96,"1,019.70","1,026.70"
2020-02-29,6.4,8.8,4.5,13,0.5,41,96,"1,016","1,019.70"
2020-03-01,8.3,6.7,3.2,10.1,0.2,58,93,"1,016.50","1,020"
2020-03-02,9.3,3.8,0,7.6,0,33,82,"1,020","1,026.40"
2020-03-03,8,5.4,0.3,10.5,0,35,70,"1,021.30","1,026.30"
2020-03-04,11.7,1.7,-1.3,4.6,0,32,71,"1,020.40","1,024.50"
2020-03-05,7.6,1.8,-2.8,6.3,0,25,62,"1,023.60","1,027.50"
2020-03-06,6,3.8,-2.5,10.1,0,16,79,"1,019.50","1,025.20"
2020-03-07,6.3,7.8,1.3,14.2,0,18,55,"1,015.60","1,020.20"
2020-03-08,7,9.6,2.3,16.9,0,20,72,"1,016.50","1,020.90"
2020-03-09,8.7,11.2,4.8,17.6,11.8,40,95,"1,005.20","1,011.60"
2020-03-10,7.3,7,3.2,10.8,0,20,58,"1,010.50","1,018.60"
2020-03-11,9.6,4.2,0,8.3,0,24,56,"1,011.60","1,022.40"
2020-03-12,10.2,6.8,0.2,13.3,0,19,74,"1,018.50","1,023.20"
2020-03-13,9.1,4.3,-0.1,8.7,0.5,18,92,"1,020.20","1,024.30"
2020-03-14,11.9,3,-2.7,8.6,0,25,78,"1,011.80","1,021.50"
2020-03-15,14.4,4.4,0.2,8.5,0,19,82,"1,008.40","1,018.20"
2020-03-16,9.8,3.5,-2.1,9.1,0,17,63,"1,018.20","1,024.70"
2020-03-17,9,7.7,3.1,12.3,0,50,77,"1,012.10","1,020.90"
2020-03-18,8.1,9.9,2.7,17,0,16,91,"1,008.40","1,017.10"
2020-03-19,16.3,9,5.8,12.1,0,27,79,"1,000.70","1,012.70"
2020-03-20,13,8.6,3.1,14,0,15,69,"1,011.80","1,015.40"
2020-03-21,8.6,13.7,7.9,19.5,0,36,78,"1,007.90","1,014.20"
2020-03-22,10.2,11.3,6.1,16.5,0,13,92,"1,011.70","1,017.80"
2020-03-23,9.6,11.2,5.4,17,0,20,58,"1,014.60","1,018.60"
2020-03-24,7,11.6,5.3,17.9,0,15,62,"1,018.10","1,022"
2020-03-25,8.3,12.7,6.1,19.2,0,17,46,"1,018.10","1,022.20"
2020-03-26,7.3,14.4,8.1,20.6,1.8,24,96,"1,011.60","1,019"
2020-03-27,10.3,11.3,6.7,15.8,2,27,96,"1,009.70","1,020.70"
2020-03-28,10.1,8.7,4.5,12.8,0,11,31,"1,018.40","1,024"
2020-03-29,7.4,8.7,1.3,16.1,0,16,41,"1,018.90","1,024.20"
2020-03-30,6.8,10.6,4.3,16.9,0,14,70,"1,018","1,022.20"
2020-03-31,7.4,11.7,4.7,18.6,0,15,56,"1,014.30","1,020.90"
2020-04-01,11.9,11.7,6,17.4,0,17,58,"1,011.50","1,020.30"
2020-04-02,9.8,9.5,3.4,15.5,0,15,69,"1,020.10","1,023.50"
2020-04-03,9.4,10.8,5.3,16.3,0,23,83,"1,018.40","1,023.60"
2020-04-04,12.8,9.2,5,13.3,0,10,84,"1,017","1,022.50"
2020-04-05,9.7,7.8,1.9,13.7,0,13,63,"1,020.20","1,023.80"
2020-04-06,10.2,9.5,2.9,16.1,0,18,62,"1,017.70","1,022.90"
2020-04-07,8.4,11.4,6,16.8,0,32,80,"1,013","1,019.30"
2020-04-08,11.2,9.7,5.2,14.2,0,13,43,"1,015.50","1,021.20"
2020-04-09,10.2,9.5,4.3,14.7,0,30,66,"1,020.30","1,024.70"
2020-04-10,8.6,11.3,5.8,16.8,0,39,84,"1,016.60","1,024.10"
2020-04-11,7.5,11.1,6.2,16,0,32,69,"1,022.30","1,026.40"
2020-04-12,13.4,10,4.4,15.6,0,39,85,"1,013.20","1,016.70"
2020-04-13,9.8,12.4,4.3,20.4,0,16,63,"1,011.80","1,015.80"
2020-04-14,10,13.6,7.6,19.6,0,23,78,"1,014.80","1,018"
2020-04-15,9.2,13.7,7.2,20.2,0,25,55,"1,012.50","1,017.10"
2020-04-16,8,16.4,8.9,23.8,0,23,56,"1,013.30","1,018.70"
2020-04-17,9.4,12.9,10.4,15.4,6.5,45,93,"1,010.30","1,016.40"
2020-04-18,8,14.1,8.5,19.6,0,44,94,"1,011.60","1,019.20"
2020-04-19,8.6,12.5,9.5,15.5,10.3,51,93,"1,010.30","1,018.80"
2020-04-20,14.2,10.4,7.6,13.1,0.1,56,90,"1,009","1,013.90"
2020-04-21,17,7.6,4.8,10.4,0,29,86,"1,012.70","1,017.20"
2020-04-22,12.5,6.2,4.1,8.3,0,35,56,"1,015.20","1,018.10"
2020-04-23,12.9,7.9,2.9,12.8,0,28,71,"1,013.40","1,018.10"
2020-04-24,16,9.2,4.1,14.3,0,29,77,"1,011.40","1,016.60"
2020-04-25,15,13.5,9.9,17.1,0,45,61,"1,007.20","1,013.80"
2020-04-26,10.8,12.9,6.8,19,0,20,66,"1,013.80","1,020"
2020-04-27,11.2,13.5,8.7,18.3,0,25,75,"1,017.90","1,021"
2020-04-28,10,13.9,7.8,19.9,0,26,72,"1,017.30","1,022.10"
2020-04-29,8.6,15.2,9.3,21,0,25,85,"1,017.80","1,020.90"
2020-04-30,10,16.4,9.3,23.4,0,41,79,"1,012.20","1,018.90"
2020-05-01,9.9,21.3,16.4,26.2,0,54,84,"1,010.60","1,014.30"
2020-05-02,7.6,21,18,23.9,0.1,62,88,"1,008.30","1,013.60"
2020-05-03,7.2,22.2,17,27.4,0,46,90,"1,003","1,008.50"
2020-05-04,8.7,20.1,14.8,25.3,0,44,79,"1,005","1,011"
2020-05-05,8.8,16.2,13.1,19.3,0,54,79,"1,010.50","1,013.50"
2020-05-06,8,19.4,11.1,27.6,0,19,84,"1,010.70","1,015.70"
2020-05-07,9.5,20.7,14.9,26.5,0,20,48,"1,015.30","1,018.80"
2020-05-08,7.9,20.8,14.3,27.3,2.3,11,79,"1,011.90","1,016.90"
2020-05-09,11,14.8,12.7,16.8,24.4,76,98,"1,001.60","1,013.90"
2020-05-10,7.1,14.7,12.8,16.6,1.3,78,96,"1,004.30","1,010.10"
2020-05-11,10.1,17.2,12.4,22,3.4,27,91,"1,005.30","1,009.90"
2020-05-12,12.2,14.7,10.5,18.9,0.7,47,89,"1,002.70","1,011"
2020-05-13,12.1,16,10.2,21.8,0,24,83,"1,011.10","1,017.80"
2020-05-14,6.9,18.9,12.4,25.4,0,20,53,"1,012.70","1,018.90"
2020-05-15,13.2,17.2,14.1,20.2,12,34,97,"1,005.80","1,013.60"
2020-05-16,4.9,17.7,15,20.3,2.5,74,97,"1,005","1,008.20"
2020-05-17,7.7,19.8,14.6,24.9,0,58,94,"1,002.90","1,007.80"
2020-05-18,16.4,20,13.2,26.8,29.8,46,94,992,"1,003.80"
2020-05-19,12.9,13.6,10.1,17.1,19,52,97,996.9,"1,008.50"
2020-05-20,6,14.7,9.2,20.1,0,46,71,"1,008.50","1,014.70"
2020-05-21,6.1,16.9,10.9,22.9,0,40,75,"1,012.50","1,016.40"
2020-05-22,8,18.8,14.8,22.7,0,55,78,"1,009.80","1,015.10"
2020-05-23,8.3,20.8,16.6,25,0,44,82,"1,008.80","1,012.30"
2020-05-24,12.8,17.3,14.3,20.2,14.5,70,96,"1,006.10","1,012.80"
2020-05-25,6,17.5,13.7,21.3,0,62,93,"1,010.60","1,013.80"
2020-05-26,8.8,17.8,12.7,22.9,1.5,47,95,"1,007.20","1,012.40"
2020-05-27,7.3,17.9,11.8,23.9,0,38,86,"1,008.30","1,012.20"
2020-05-28,9.3,18.8,14.2,23.4,0,31,93,"1,007.70","1,011"
2020-05-29,6.7,21.1,14.6,27.6,0,38,88,"1,012.20","1,016.90"
2020-05-30,7,23.3,16.5,30,0,29,82,"1,013.60","1,018.70"
2020-05-31,8.6,22.8,17.6,28,1,39,92,"1,008.60","1,015.40"
2020-06-01,12.3,20.6,16.6,24.5,0.3,37,93,"1,008.50","1,010.50"
2020-06-02,9.1,18.3,14.8,21.8,2,43,84,"1,004.70","1,011.30"
2020-06-03,8.8,23,17.6,28.4,0,47,90,"1,000.60","1,005.70"
2020-06-04,7.7,23.1,19.7,26.5,0.2,57,92,"1,002.60","1,006.60"
2020-06-05,6.7,23.6,18.4,28.7,0,45,93,"1,005.10","1,008.30"
2020-06-06,7.8,25.1,19.2,30.9,0,38,82,"1,005.90","1,010"
2020-06-07,7.3,24.2,19.2,29.2,0,44,81,"1,009.80","1,013.20"
2020-06-08,8.8,25.9,19.8,32,0,40,86,"1,012.60","1,016.20"
2020-06-09,7.9,26.6,20.3,32.8,0,34,73,"1,012.20","1,015.90"
2020-06-10,9.8,27.3,22.5,32.1,5.9,41,89,"1,005.30","1,013.40"
2020-06-11,7.2,26.7,21.7,31.6,0,38,91,"1,000.80","1,005.40"
2020-06-12,4.7,24.6,21.6,27.6,0,49,84,"1,003.70","1,005.70"
2020-06-13,8.4,27.1,20.6,33.5,0,27,78,"1,001.90","1,005.90"
2020-06-14,10.1,24.5,20.1,28.8,1.1,41,90,"1,002.30","1,007.20"
2020-06-15,13.4,23.4,18.2,28.6,0,31,86,"1,004.10","1,008.10"
2020-06-16,6.9,25.4,20,30.7,0,37,80,"1,003.40","1,007"
2020-06-17,7.9,25.3,20.2,30.3,0,37,80,"1,003.30","1,006.10"
2020-06-18,5.6,23.8,20.3,27.3,0,47,72,"1,000.90","1,005.60"
2020-06-19,7.1,25.6,21.1,30,0.1,45,74,"1,002.80","1,009.50"
2020-06-20,7.9,25.2,20.7,29.7,0,48,79,"1,008","1,011.30"
2020-06-21,8.4,26.1,19.5,32.7,0,39,82,"1,005","1,009.90"
2020-06-22,5.7,28.6,21.7,35.4,0,42,64,"1,006.40","1,009.60"
2020-06-23,6.7,27.1,23.2,31,0,26,79,"1,006.10","1,008.70"
2020-06-24,10,23.1,19.9,26.3,37.6,55,98,"1,000.70","1,006.40"
2020-06-25,7.1,21.8,20.1,23.4,13.3,79,98,"1,000.70","1,003.30"
2020-06-26,9.5,22.5,19.2,25.7,2.1,63,97,"1,003.10","1,008.30"
2020-06-27,8.3,25,20.4,29.6,0,52,83,"1,003","1,008.20"
2020-06-28,7.7,25.8,21.5,30.1,0,49,90,"1,003.20","1,006.10"
2020-06-29,9.9,23.6,20.6,26.5,11.9,64,92,993,"1,006.10"
2020-06-30,6.1,20.8,18.4,23.1,0,67,89,"1,001","1,008.90"
2020-07-01,14.5,21.2,18.1,24.3,64.7,63,96,989.4,"1,001"
2020-07-02,5.4,25.1,20.4,29.8,0,51,88,"1,008.80","1,012.90"
2020-07-03,7.4,26.1,21.6,30.6,1.6,39,92,"1,005","1,009.80"
2020-07-04,10.5,25,20.4,29.5,0,34,87,"1,007.70","1,012.60"
2020-07-05,5.5,23.8,19.9,27.6,0,52,87,"1,001.80","1,006.60"
2020-07-06,7.7,26.4,21.8,30.9,0,46,76,998.6,"1,002.60"
2020-07-07,6.6,25.1,22.1,28.1,0,59,84,"1,001.90","1,005.50"
2020-07-08,6.4,25.9,21.3,30.4,0,52,90,"1,002.70","1,005.40"
2020-07-09,6.3,27.4,21.8,32.9,0,38,89,"1,001.70","1,005"
2020-07-10,11.3,25.2,22.7,27.7,2.2,60,86,"1,000.40","1,003.60"
2020-07-11,10,26.2,22.2,30.2,0,49,79,"1,002.90","1,009.90"
2020-07-12,7.5,23.9,21.7,26,2.9,58,91,"1,007","1,011"
2020-07-13,11,19.7,17.7,21.7,45.3,86,98,"1,001.20","1,007.10"
2020-07-14,8.6,20.8,17.2,24.3,11.5,62,98,"1,001.20","1,005.60"
2020-07-15,6.8,23.8,18.9,28.7,0,40,78,"1,003.40","1,006.50"
2020-07-16,6.2,25.1,20.4,29.7,0,55,86,"1,004.90","1,008.10"
2020-07-17,9.6,26.6,21.5,31.6,0,52,88,"1,006.60","1,009.10"
2020-07-18,6.4,26.9,22.8,31,0,54,85,"1,006.60","1,009.30"
2020-07-19,8.4,23.6,20.6,26.6,29.1,62,96,"1,002.10","1,008.50"
2020-07-20,13.4,24.5,22.4,26.6,3.6,77,96,"1,001","1,010.80"
2020-07-21,6.6,26,21.4,30.5,0,51,92,"1,010.30","1,013"
2020-07-22,5.6,24.2,22.6,25.7,11.5,81,95,"1,008.40","1,011.30"
2020-07-23,14.4,20.6,18.5,22.6,103.1,89,99,999.6,"1,010.40"
2020-07-24,16.1,22.8,18.7,26.8,2.9,61,92,997.6,"1,000.70"
2020-07-25,11.3,25.7,22.3,29,0,56,75,"1,000.50","1,006.80"
2020-07-26,5.9,25.6,21.6,29.6,0,56,81,"1,006","1,008.40"
2020-07-27,5.7,24.2,22.9,25.5,2.2,80,91,"1,007.40","1,009.30"
2020-07-28,5.4,24.6,22.7,26.4,0.4,71,91,"1,008.40","1,011.50"
2020-07-29,6.7,23.8,22.6,24.9,50.1,89,99,"1,010.40","1,012.70"
2020-07-30,7.7,25.9,23.4,28.4,0.1,68,98,"1,011.50","1,014.40"
2020-07-31,8.2,26.2,22.8,29.6,1.5,69,91,"1,012.30","1,015.10"
2020-08-01,14.6,25.6,24.3,26.9,31.4,90,99,"1,005.40","1,009.10"
2020-08-02,9,25,23.5,26.4,39.1,82,96,"1,007.70","1,013.10"
2020-08-03,14.5,25.1,23.9,26.3,102.6,89,99,"1,005.50","1,010.20"
2020-08-04,11,27.2,25,29.4,3.9,77,98,"1,008.90","1,012.80"
2020-08-05,8,27.3,25.5,29.1,18.5,81,96,"1,007.20","1,012.70"
2020-08-06,13.1,24.5,22.9,26,75.7,83,100,"1,000.50","1,008.70"
2020-08-07,6.9,24.4,22.6,26.1,0,71,94,"1,004.50","1,009.20"
2020-08-08,7.5,24.4,22.7,26.1,19.1,77,98,"1,001.50","1,004.70"
2020-08-09,12.4,24.8,23.7,25.8,50.3,89,99,"1,001.40","1,003.40"
2020-08-10,10.2,27.1,24.7,29.5,44.6,78,97,"1,001.70","1,004.70"
2020-08-11,9.1,24.9,22.4,27.3,97,79,100,"1,003.70","1,012.60"
2020-08-12,6.7,27.4,23.5,31.3,0,68,97,"1,010.90","1,013.70"
2020-08-13,8.7,28.3,26.3,30.3,0,74,89,"1,006.20","1,012.40"
2020-08-14,10.9,27.3,26.5,28,0.4,81,92,"1,004.40","1,006.90"
2020-08-15,10.5,26,25,27,69,92,98,"1,006.10","1,010.10"
2020-08-16,10,28.1,25.3,30.8,0,66,95,"1,009.60","1,012.10"
2020-08-17,7.1,29.2,26.1,32.2,0,61,89,"1,012","1,014.80"
2020-08-18,5.4,28,24,31.9,0,56,92,"1,010.90","1,014.70"
2020-08-19,7.6,27.5,23.6,31.4,0,61,91,"1,009.30","1,012.90"
2020-08-20,7.1,28.4,25,31.7,0,58,90,"1,010.20","1,013.40"
2020-08-21,7.4,27.2,25.2,29.2,2.5,75,91,"1,012.80","1,014.50"
2020-08-22,8.4,24.7,21.7,27.6,42.6,78,95,"1,010.50","1,013.90"
2020-08-23,6.2,25.7,21.5,29.9,0,59,96,"1,006.40","1,010.80"
2020-08-24,8.5,27.9,23.7,32,0,54,86,"1,003.20","1,007.50"
2020-08-25,7.6,30.3,26,34.5,0,49,85,"1,003.30","1,006"
2020-08-26,13.9,30.8,27,34.5,0.6,53,83,997.5,"1,005.70"
2020-08-27,15.6,27.1,25.6,28.6,8.7,70,93,993.8,"1,005.70"
2020-08-28,7.4,27.9,26,29.7,13.6,77,96,"1,005.30","1,009"
2020-08-29,7.4,27.3,25.5,29,13.6,77,95,"1,007.60","1,010.50"
2020-08-30,8.1,27.5,24.4,30.6,42.5,74,99,"1,009.70","1,013.30"
2020-08-31,8.2,26.9,23.8,30,0,67,90,"1,010.30","1,013.50"
2020-09-01,7.5,26.7,23.8,29.5,0,62,81,"1,007.40","1,011.90"
2020-09-02,7.6,24.5,22.6,26.4,33.3,79,97,994.7,"1,008"
2020-09-03,21.5,22.8,20,25.6,29.8,63,98,986.3,"1,007.70"
2020-09-04,9.6,23.7,19.9,27.5,0,39,83,"1,007.60","1,014.60"
2020-09-05,5.8,23.3,19.2,27.3,0,53,81,"1,011.90","1,015.10"
2020-09-06,9.7,22,19.5,24.4,6.4,62,95,"1,004.20","1,013.20"
2020-09-07,15.3,19.1,17.5,20.6,61,84,99,984.7,"1,004.20"
2020-09-08,15.4,23.6,20.6,26.5,0,50,88,998.8,"1,012.20"
2020-09-09,13.1,22.2,19,25.3,1.3,65,91,"1,007.70","1,012"
2020-09-10,7.3,22.9,18.8,27,3.9,49,96,"1,007.60","1,011.50"
2020-09-11,9.7,23.2,19.2,27.1,1.2,47,88,"1,011.50","1,016.60"
2020-09-12,8,20.7,18.1,23.2,5.7,74,93,"1,014.60","1,016.60"
2020-09-13,6.1,21.7,16.7,26.6,0,52,84,"1,013.70","1,017.20"
2020-09-14,7.4,21.3,17.6,24.9,0,62,93,"1,012.40","1,015.30"
2020-09-15,5.9,23.3,18.9,27.7,0,50,94,"1,010.60","1,014.80"
2020-09-16,6.1,23.1,21.3,24.9,0.3,70,87,"1,007.60","1,010.90"
2020-09-17,6.3,21.9,20.1,23.6,0,47,92,"1,008.90","1,011.10"
2020-09-18,12.4,22,18.1,25.8,0,35,81,"1,010.60","1,015.10"
2020-09-19,9.6,21.9,17.6,26.2,0.3,27,89,"1,013.20","1,016.20"
2020-09-20,8.2,20.3,15.6,24.9,0,33,80,"1,015.50","1,018.60"
2020-09-21,5.3,19.5,13.6,25.3,0,33,77,"1,016.40","1,019.90"
2020-09-22,9.2,20.6,15.5,25.6,0,35,74,"1,016.50","1,020.40"
2020-09-23,9.5,19.5,15.2,23.8,0,50,69,"1,016.80","1,019.40"
2020-09-24,10.8,21.1,16.8,25.4,0,49,71,"1,013.10","1,017.80"
2020-09-25,8.4,21,16.6,25.4,0,49,79,"1,011.80","1,015.70"
2020-09-26,10.5,19.8,14.8,24.8,0,45,79,"1,015.10","1,018.90"
2020-09-27,5.6,20.4,14.9,25.8,0,43,79,"1,016.40","1,020.20"
2020-09-28,6.1,21.1,15.7,26.5,0,40,87,"1,014.20","1,018.80"
2020-09-29,6.8,19.6,15.3,23.9,0,43,87,"1,009.20","1,015"
2020-09-30,6,21,16.2,25.7,38.3,48,93,"1,009","1,012"
2020-10-01,8.7,19.6,15.6,23.6,0,58,91,"1,011.80","1,014.70"
2020-10-02,9.7,19.1,16.3,21.9,0,63,87,"1,013.70","1,015.40"
2020-10-03,5.6,20.8,18.3,23.2,0,46,91,"1,013.60","1,017"
2020-10-04,13.7,16.2,10.6,21.8,0,42,80,"1,008.80","1,016.10"
2020-10-05,10,13.5,8.5,18.4,0,40,74,"1,016.10","1,020.50"
2020-10-06,7.8,14.5,9.3,19.7,0,34,84,"1,020.50","1,024.90"
2020-10-07,7.1,16,9.9,22,0,24,66,"1,023.90","1,027.70"
2020-10-08,9.7,17.6,12.1,23.1,0,35,78,"1,024.60","1,029"
2020-10-09,9.5,17.9,12.4,23.3,0,42,64,"1,020.50","1,026.90"
2020-10-10,6.8,16.9,12.3,21.5,0,41,76,"1,017","1,022.30"
2020-10-11,6.6,16.8,12.7,20.8,0,52,80,"1,013.80","1,018.50"
2020-10-12,7.5,16.7,12.1,21.3,0,48,89,"1,013.50","1,018"
2020-10-13,8,13.5,8.6,18.4,0,30,76,"1,018","1,023.10"
