고객ID,성별,연령,지역,가입채널,가입개월수,요금제,월요금,결제수단,자동결제여부,월평균로그인수,월평균주문수,평균주문금액,누적결제금액,최근주문경과일,CS문의수,만족도점수,쿠폰사용률,모바일사용비중,이탈여부
C102839,여,25,서울,SNS,19,Standard,19900,신용카드,0,3,4.2,52800,4213400,47,0,,0.096,0.915,0
C102840,여,20,서울,제휴몰,11,Basic,9900,간편결제,1,16,3.9,27000,1158300,7,1,2.5,0.151,0.657,0
C102841,여,22,인천,SNS,6,Basic,9900,신용카드,1,17,3.0,25400,457200,0,2,3.4,0.516,0.663,0
C102842,여,39,경기,앱스토어,39,Premium,34900,신용카드,0,28,6.7,38300,10007800,5,1,4.1,0.082,0.967,0
C102843,남,38,인천,앱스토어,15,Basic,9900,계좌이체,0,14,1.9,26900,766600,18,1,3.6,0.277,0.935,0
C102844,남,33,기타,제휴몰,33,Standard,19900,신용카드,1,5,3.5,21400,2471700,22,0,4.2,0.226,0.859,0
C102845,여,34,인천,검색광고,10,Standard,19900,신용카드,0,13,2.1,44200,928200,31,2,3.3,0.191,0.866,0
C102846,남,32,서울,검색광고,14,Premium,34900,간편결제,1,14,5.3,26500,1966300,11,2,2.2,0.197,0.688,0
C102847,남,26,기타,검색광고,15,Standard,19900,신용카드,0,15,6.7,41400,4160700,6,0,3.8,0.499,0.941,0
C102848,여,29,광주,지인추천,17,Standard,19900,간편결제,1,17,3.5,40000,2380000,54,3,3.3,0.131,0.8,0
C102849,남,37,서울,제휴몰,36,Standard,19900,간편결제,1,13,1.1,10600,419800,7,1,3.7,0.225,0.832,0
C102850,남,31,서울,SNS,18,Basic,9900,신용카드,1,15,2.4,40700,1758200,3,2,2.1,0.523,0.537,0
C102851,남,37,경기,지인추천,14,Standard,19900,신용카드,0,20,5.2,23500,1710800,5,0,4.1,0.505,0.858,0
C102852,남,27,서울,SNS,24,Standard,19900,신용카드,1,17,2.0,27500,1320000,9,1,3.2,0.162,0.793,1
C102853,여,47,서울,제휴몰,10,Basic,9900,간편결제,0,8,1.3,30400,395200,33,1,2.7,0.084,0.562,1
C102854,여,62,서울,앱스토어,6,Standard,19900,신용카드,0,16,2.6,32300,503900,17,0,1.3,0.394,0.897,0
C102855,여,46,서울,SNS,17,Premium,34900,신용카드,1,27,3.9,33800,2240900,0,2,4.2,0.299,0.855,0
C102856,남,34,경기,검색광고,3,Basic,9900,체크카드,0,24,6.1,18000,329400,20,1,2.7,0.592,0.658,1
C102857,여,58,광주,검색광고,7,Basic,9900,신용카드,0,23,1.6,38900,435700,13,1,3.4,0.136,0.249,0
C102858,여,45,서울,검색광고,16,Basic,9900,체크카드,1,16,8.5,35100,4773600,0,6,3.8,0.172,0.644,0
C102859,여,23,대구,지인추천,6,Standard,19900,신용카드,1,8,1.5,25400,228600,7,1,3.7,0.262,0.396,0
C102860,여,19,경기,앱스토어,15,Standard,19900,간편결제,0,19,7.6,43200,4924800,1,1,2.1,0.379,0.815,1
C102861,여,45,경기,검색광고,7,Basic,9900,신용카드,1,16,1.6,47300,529800,15,1,4.2,0.388,0.896,0
C102862,여,46,대전,앱스토어,5,Basic,9900,신용카드,1,12,3.0,44400,666000,5,1,4.5,0.527,0.852,0
C102863,남,33,서울,검색광고,12,Premium,34900,신용카드,1,29,4.3,52800,2724500,17,3,3.5,0.248,0.861,0
C102864,남,53,인천,검색광고,8,Premium,34900,신용카드,1,23,4.3,38500,1324400,6,0,2.5,0.32,0.706,0
C102865,여,19,서울,SNS,26,Basic,9900,신용카드,0,11,0.9,30600,716000,18,1,4.7,0.238,0.678,0
C102866,여,52,기타,검색광고,23,Basic,9900,간편결제,1,13,0.9,31600,654100,10,1,3.1,0.309,0.935,0
C102867,여,31,대구,SNS,8,Standard,19900,계좌이체,1,17,1.2,29500,283200,5,0,,0.047,0.797,0
C102868,남,42,서울,지인추천,19,Standard,19900,신용카드,1,18,2.8,24400,1298100,34,2,3.7,0.233,0.95,0
C102869,남,40,서울,앱스토어,40,Basic,9900,체크카드,1,13,1.9,42700,3245200,0,0,4.2,0.169,0.87,0
C102870,남,41,경기,제휴몰,13,Premium,34900,간편결제,1,16,3.3,53800,2308000,16,1,4.8,0.414,0.839,0
C102871,여,25,인천,지인추천,37,Basic,9900,신용카드,1,23,3.4,15100,1899600,0,0,4.0,0.312,0.808,0
C102872,남,19,경기,지인추천,32,Premium,34900,신용카드,1,12,3.3,17000,1795200,0,2,1.4,0.166,0.386,0
C102873,여,42,서울,SNS,8,Basic,9900,체크카드,0,33,2.1,32900,552700,30,2,4.0,0.351,0.774,1
C102874,여,52,대구,SNS,30,Standard,19900,신용카드,1,8,3.4,45000,4590000,5,4,2.9,0.166,0.867,0
C102875,여,45,경기,SNS,8,Standard,19900,체크카드,0,5,1.3,28100,292200,21,2,1.2,0.249,0.462,1
C102876,남,53,부산,검색광고,17,Standard,19900,간편결제,1,9,3.0,43800,2233800,0,1,2.8,0.272,0.71,0
C102877,여,37,서울,검색광고,6,Standard,19900,신용카드,1,4,3.9,32300,755800,32,1,2.1,0.124,0.552,0
C102878,남,47,기타,SNS,28,Standard,19900,계좌이체,1,22,1.7,38900,1851600,89,2,,0.402,0.658,1
C102879,남,25,서울,지인추천,6,Basic,9900,신용카드,1,27,2.4,33700,485300,22,2,3.3,0.725,0.71,0
C102880,여,42,인천,SNS,12,Standard,19900,계좌이체,1,12,2.2,34100,900200,0,2,3.1,0.276,0.68,0
C102881,남,55,대구,SNS,10,Basic,9900,계좌이체,0,11,0.6,8800,52800,33,1,3.4,0.322,0.643,0
C102882,남,36,대전,SNS,12,Premium,34900,신용카드,1,12,5.5,54900,3623400,2,1,4.8,0.361,0.758,0
C102883,여,49,경기,SNS,8,Basic,9900,간편결제,1,21,2.8,25100,562200,15,0,,0.107,0.929,0
C102884,여,50,서울,앱스토어,20,Standard,19900,신용카드,1,25,2.2,30800,1355200,0,0,3.1,0.188,0.814,0
C102885,여,19,대구,검색광고,15,Basic,9900,신용카드,0,18,3.3,44600,2207700,12,1,5.0,0.093,0.674,0
C102886,남,39,서울,SNS,25,Basic,9900,신용카드,1,22,3.7,34500,3191200,6,3,2.2,0.2,0.487,0
C102887,남,46,기타,지인추천,16,Standard,19900,계좌이체,1,15,1.5,18000,432000,50,1,3.0,0.233,0.485,0
C102888,남,39,인천,앱스토어,15,Basic,9900,간편결제,1,17,2.8,5000,210000,0,4,3.3,0.326,0.79,0
C102889,여,37,서울,SNS,3,Standard,19900,간편결제,0,15,8.3,26700,664800,15,2,3.9,0.339,0.56,0
C102890,여,34,기타,검색광고,13,Standard,19900,신용카드,1,18,2.0,31300,813800,0,1,3.2,0.159,0.667,0
C102891,여,51,서울,제휴몰,11,Basic,9900,신용카드,1,16,1.6,37700,663500,15,2,1.9,0.443,0.84,0
C102892,남,24,기타,검색광고,5,Basic,9900,간편결제,1,2,4.2,44900,942900,41,1,4.3,0.528,0.702,0
C102893,남,19,서울,앱스토어,16,Premium,34900,간편결제,1,17,2.2,63400,2231700,0,3,2.5,0.073,0.871,0
C102894,남,46,경기,지인추천,14,Standard,19900,신용카드,1,8,5.2,24800,1805400,52,0,3.9,,0.355,0
C102895,남,44,기타,제휴몰,8,Basic,9900,신용카드,1,23,1.1,27400,241100,22,1,1.9,0.754,0.768,0
C102896,남,41,기타,제휴몰,13,Standard,19900,신용카드,1,27,1.5,37900,739000,4,1,3.1,0.34,0.789,0
C102897,여,42,경기,검색광고,5,Basic,9900,신용카드,1,19,1.5,30800,231000,12,1,3.7,0.183,0.776,0
C102898,남,30,광주,앱스토어,12,Premium,34900,신용카드,1,20,3.3,46900,1857200,44,3,2.4,0.352,0.747,0
C102899,남,36,부산,검색광고,40,Standard,19900,신용카드,0,19,1.6,36100,2310400,23,2,3.5,0.392,0.86,0
C102900,남,24,기타,제휴몰,14,Standard,19900,신용카드,1,7,1.4,10500,205800,31,2,1.9,0.252,0.687,0
C102901,남,51,경기,SNS,18,Standard,19900,신용카드,1,16,4.5,20300,1644300,0,1,2.8,0.322,0.954,0
C102902,여,19,기타,앱스토어,6,Standard,19900,신용카드,0,8,4.0,41800,1003200,31,0,4.3,0.067,0.86,0
C102903,남,46,부산,제휴몰,5,Basic,9900,신용카드,1,17,2.3,31400,361100,13,0,3.6,0.148,0.894,1
C102904,여,43,인천,앱스토어,17,Standard,19900,간편결제,1,11,0.8,30800,418900,1,1,5.0,0.149,,0
C102905,남,31,대구,앱스토어,7,Basic,9900,체크카드,1,35,2.8,33300,652700,7,3,3.5,0.351,0.557,0
C102906,여,37,서울,검색광고,26,Standard,19900,신용카드,1,23,2.6,35700,2413300,26,0,4.2,0.41,0.469,0
C102907,남,57,부산,SNS,5,Basic,9900,체크카드,0,15,4.3,20400,438600,10,1,3.7,0.236,0.668,1
C102908,여,19,경기,SNS,29,Standard,19900,계좌이체,1,26,1.7,24100,1188100,9,3,5.0,0.142,0.761,0
C102909,남,45,경기,검색광고,15,Premium,34900,신용카드,1,12,3.7,43000,2386500,0,2,3.2,0.458,0.646,0
C102910,여,31,경기,제휴몰,38,Basic,9900,신용카드,0,7,2.9,64300,7085900,13,0,3.9,0.708,0.654,0
C102911,여,49,기타,SNS,16,Basic,9900,체크카드,1,12,0.6,17100,164200,49,1,3.2,0.527,0.78,1
C102912,남,37,경기,앱스토어,16,Standard,19900,간편결제,1,10,2.6,62200,2587500,3,1,2.1,0.271,0.726,0
C102913,남,37,기타,검색광고,16,Standard,19900,체크카드,1,14,3.3,25800,1362200,0,0,2.6,0.318,0.332,0
C102914,여,45,경기,검색광고,12,Standard,19900,신용카드,1,15,6.0,37700,2714400,1,0,3.8,0.314,0.554,0
C102915,남,26,경기,검색광고,17,Standard,19900,계좌이체,0,3,5.0,23000,1955000,53,2,2.7,0.034,0.965,1
C102916,남,37,서울,검색광고,14,Standard,19900,신용카드,1,18,1.9,29300,779400,20,0,3.5,0.243,0.836,0
C102917,남,33,경기,SNS,1,Standard,19900,신용카드,1,7,0.6,14200,8500,41,2,3.5,0.06,0.611,0
C102918,남,30,경기,지인추천,32,Standard,19900,체크카드,0,11,0.9,39600,1140500,47,2,3.2,0.303,0.472,1
C102919,남,33,경기,SNS,51,Basic,9900,신용카드,0,12,4.5,33700,7734200,29,1,3.1,,0.542,0
C102920,여,40,서울,SNS,54,Basic,9900,신용카드,1,6,1.0,28800,1555200,0,2,3.8,0.166,0.605,0
C102921,남,29,경기,SNS,19,Basic,9900,신용카드,1,23,4.6,32400,2831800,12,1,4.3,0.146,0.672,0
C102922,여,30,서울,검색광고,12,Basic,9900,간편결제,0,20,2.0,33700,808800,17,2,2.6,0.435,0.668,0
C102923,남,48,경기,SNS,22,Standard,19900,체크카드,1,25,2.5,16500,907500,81,3,3.9,0.228,0.851,0
C102924,남,38,기타,지인추천,18,Basic,9900,간편결제,0,25,2.4,27200,1175000,12,5,2.7,0.17,0.902,1
C102925,남,38,경기,앱스토어,17,Basic,9900,체크카드,1,18,4.2,45700,3263000,5,0,4.2,0.51,0.63,0
C102926,남,34,인천,검색광고,24,Standard,19900,체크카드,1,10,2.6,28600,1784600,0,0,3.9,0.329,0.63,1
C102927,여,68,인천,SNS,31,Premium,34900,간편결제,0,22,5.4,57900,9692500,5,2,3.5,0.099,0.774,0
C102928,여,39,인천,앱스토어,39,Basic,9900,간편결제,1,19,2.6,34900,3538900,38,0,5.0,,0.56,0
C102929,여,29,인천,검색광고,27,Standard,19900,계좌이체,0,21,5.4,41800,6094400,67,2,3.8,0.19,0.63,0
C102930,여,43,대구,검색광고,7,Premium,34900,체크카드,1,12,7.4,50500,2615900,0,0,5.0,0.149,0.89,0
C102931,여,27,경기,검색광고,11,Standard,19900,간편결제,1,15,3.5,32200,1239700,29,1,3.0,0.28,0.945,0
C102932,남,42,인천,검색광고,23,Basic,9900,간편결제,0,13,2.0,35200,1619200,25,1,4.4,0.448,0.769,0
C102933,여,46,부산,SNS,13,Basic,9900,신용카드,1,11,3.7,35700,1717200,4,4,2.7,0.267,0.855,0
C102934,남,26,서울,지인추천,14,Premium,34900,신용카드,1,19,5.1,53600,3827000,0,1,1.5,0.116,0.554,0
C102935,남,47,기타,지인추천,10,Basic,9900,간편결제,1,15,3.8,34100,1295800,21,0,3.9,0.206,0.73,0
C102936,남,30,서울,SNS,11,Premium,34900,체크카드,0,4,2.5,41100,1130200,59,0,4.2,0.076,0.824,1
C102937,여,54,부산,지인추천,27,Basic,9900,신용카드,1,15,2.4,37500,2430000,3,0,2.7,0.324,0.844,0
C102938,남,20,경기,검색광고,6,Basic,9900,체크카드,1,11,2.4,22400,322600,6,2,3.7,0.359,0.898,0
C102939,남,42,서울,검색광고,5,Basic,9900,체크카드,1,10,0.8,19600,78400,1,3,2.8,0.541,0.706,0
C102940,남,42,경기,SNS,23,Basic,9900,신용카드,1,14,3.9,29800,2673100,14,0,3.0,,0.921,0
C102941,여,44,광주,검색광고,16,Basic,9900,간편결제,1,12,5.2,34100,2837100,2,0,4.8,0.387,0.949,0
C102942,여,49,경기,검색광고,11,Basic,9900,신용카드,0,15,1.1,49800,602600,29,1,1.2,0.302,0.757,1
C102943,여,28,서울,SNS,20,Basic,9900,신용카드,1,10,1.6,29300,937600,5,0,2.9,0.099,,0
C102944,여,41,서울,제휴몰,4,Premium,34900,신용카드,0,18,5.4,40900,883400,21,1,2.6,0.283,0.962,0
C102945,남,44,인천,지인추천,17,Standard,19900,간편결제,1,22,2.7,9000,413100,19,1,,0.178,0.392,0
C102946,여,20,인천,제휴몰,10,Basic,9900,간편결제,1,24,4.0,30800,1232000,37,1,2.3,0.154,0.722,0
C102947,여,49,대구,지인추천,3,Premium,34900,계좌이체,0,2,2.3,47700,329100,52,0,5.0,0.583,0.654,1
C102948,여,36,서울,제휴몰,15,Basic,9900,신용카드,0,18,3.4,53900,2748900,46,1,4.7,0.639,0.668,0
C102949,남,28,경기,검색광고,11,Basic,9900,신용카드,1,27,2.1,31300,723000,18,0,5.0,0.19,0.66,0
C102950,여,42,서울,지인추천,13,Standard,19900,체크카드,1,14,1.6,23200,482600,0,1,,0.213,0.461,0
C102951,남,19,서울,제휴몰,7,Standard,19900,신용카드,1,30,4.8,42100,1414600,36,3,3.4,0.115,0.876,0
C102952,남,52,경기,앱스토어,6,Basic,9900,신용카드,1,22,2.2,14800,195400,15,0,3.4,0.282,0.673,0
C102953,여,20,서울,검색광고,5,Basic,9900,신용카드,1,16,1.9,22100,210000,0,2,3.8,0.522,0.901,0
C102954,남,38,서울,지인추천,9,Basic,9900,신용카드,1,10,1.5,9000,121500,0,2,1.9,0.259,0.825,0
C102955,여,30,경기,SNS,19,Basic,9900,신용카드,1,19,3.2,32400,1969900,4,0,3.0,0.462,0.771,0
C102956,남,60,부산,앱스토어,30,Basic,9900,신용카드,0,14,2.7,18900,1530900,54,2,,0.167,0.689,0
C102957,여,46,서울,SNS,25,Standard,19900,신용카드,1,20,2.3,36600,2104500,26,1,3.6,0.453,0.881,0
C102958,남,19,부산,검색광고,14,Standard,19900,간편결제,1,15,1.9,13500,359100,4,2,2.7,0.134,0.375,0
C102959,여,56,서울,검색광고,25,Basic,9900,신용카드,1,18,3.3,54700,4512800,51,1,3.5,0.315,0.81,1
C102960,남,55,광주,검색광고,33,Basic,9900,체크카드,1,18,3.1,11600,1186700,0,1,3.7,0.306,0.676,0
C102961,남,47,경기,앱스토어,22,Standard,19900,간편결제,1,7,3.2,23700,1668500,23,3,4.0,0.204,,0
C102962,여,46,광주,앱스토어,30,Premium,34900,간편결제,1,15,7.1,37400,7966200,0,2,4.4,0.243,0.571,0
C102963,여,49,서울,지인추천,4,Standard,19900,체크카드,0,14,1.5,38300,229800,44,1,,0.225,0.893,1
C102964,남,29,대구,SNS,4,Basic,9900,계좌이체,0,18,3.2,42800,547800,24,7,,0.506,0.511,1
C102965,여,19,기타,SNS,23,Standard,19900,신용카드,0,15,3.4,24200,1892400,9,2,2.2,0.21,,0
C102966,여,21,서울,앱스토어,15,Basic,9900,신용카드,1,19,1.1,6600,108900,16,0,3.6,0.502,0.784,0
C102967,남,34,서울,앱스토어,19,Premium,34900,간편결제,0,13,13.3,53600,13544700,0,2,2.0,0.283,0.746,0
C102968,남,35,인천,SNS,9,Standard,19900,체크카드,0,21,4.1,34700,1280400,15,2,2.7,0.331,0.875,0
C102969,남,35,기타,검색광고,19,Standard,19900,신용카드,1,18,3.7,17000,1195100,12,2,3.2,0.191,0.767,0
C102970,남,28,서울,검색광고,14,Standard,19900,신용카드,1,14,7.3,30400,3106900,0,0,4.0,0.335,0.7,0
C102971,남,34,기타,검색광고,14,Premium,34900,체크카드,1,21,6.7,55300,5187100,3,1,3.4,0.347,0.951,0
C102972,남,46,경기,앱스토어,16,Basic,9900,체크카드,1,6,3.8,50600,3076500,2,2,3.6,0.52,0.996,1
C102973,여,34,경기,SNS,23,Basic,9900,신용카드,1,9,3.2,39800,2929300,29,1,4.4,0.423,0.744,0
C102974,남,42,인천,검색광고,7,Basic,9900,신용카드,1,19,4.5,26500,834800,2,1,5.0,0.143,0.621,0
C102975,여,41,대전,앱스토어,10,Standard,19900,간편결제,0,9,8.9,33800,3008200,21,1,2.8,0.478,0.81,0
C102976,여,30,서울,SNS,5,Premium,34900,신용카드,1,0,7.1,40600,1441300,22,0,3.6,0.172,0.786,0
C102977,남,54,기타,SNS,25,Premium,34900,체크카드,1,5,2.8,69200,4844000,0,2,3.5,0.328,0.996,0
C102978,여,28,광주,SNS,16,Standard,19900,신용카드,0,16,2.1,30400,1021400,11,0,3.6,0.251,0.795,0
C102979,여,37,인천,앱스토어,17,Basic,9900,신용카드,1,5,2.9,35000,1725500,0,0,3.0,0.333,0.692,0
C102980,여,36,부산,제휴몰,23,Premium,34900,신용카드,1,27,8.1,61800,11513300,0,1,3.4,0.229,0.787,0
C102981,여,19,부산,검색광고,12,Standard,19900,신용카드,1,0,6.8,32700,2668300,48,1,3.1,0.214,0.563,0
C102982,여,39,경기,SNS,10,Premium,34900,신용카드,1,22,3.9,45700,1782300,0,2,3.0,0.372,0.832,1
C102983,남,27,경기,지인추천,25,Standard,19900,신용카드,1,19,5.7,29800,4246500,22,1,2.6,0.416,0.851,0
C102984,남,57,대구,SNS,16,Standard,19900,체크카드,0,3,0.7,54900,614900,60,1,3.3,0.198,0.635,1
C102985,여,52,부산,SNS,16,Premium,34900,간편결제,0,24,9.4,29800,4481900,6,1,2.1,0.08,0.368,0
C102986,남,62,인천,SNS,9,Standard,19900,간편결제,0,22,5.8,54400,2839700,32,1,3.2,0.44,0.213,0
C102987,남,50,대전,검색광고,13,Standard,19900,신용카드,1,18,4.3,40100,2241600,17,1,2.9,0.098,0.663,0
C102988,여,47,기타,SNS,18,Basic,9900,신용카드,1,19,2.2,36600,1449400,34,2,4.0,0.411,0.798,0
C102989,남,43,경기,앱스토어,32,Standard,19900,간편결제,1,18,2.4,22100,1697300,0,2,3.5,0.339,0.61,1
C102990,여,54,경기,검색광고,11,Standard,19900,신용카드,0,21,4.2,42500,1963500,20,2,4.7,0.161,0.475,0
C102991,여,39,경기,지인추천,28,Standard,19900,체크카드,0,25,2.0,13300,744800,15,1,3.3,0.148,0.297,0
C102992,여,51,광주,지인추천,9,Premium,34900,간편결제,1,29,4.8,47900,2069300,33,2,4.7,0.44,0.748,0
C102993,여,27,경기,검색광고,1,Standard,19900,신용카드,1,7,0.5,23600,11800,4,3,2.6,0.1,0.958,0
C102994,여,22,기타,앱스토어,9,Standard,19900,신용카드,0,16,2.3,44800,927400,22,0,3.8,0.192,0.946,0
C102995,남,51,대구,검색광고,2,Standard,19900,간편결제,1,9,3.8,32400,246200,13,2,4.5,0.386,0.81,0
C102996,남,31,서울,SNS,1,Standard,19900,간편결제,1,7,1.3,25900,33700,33,1,3.6,0.053,0.727,0
C102997,남,34,서울,앱스토어,27,Standard,19900,체크카드,1,21,3.8,22100,2267500,6,0,4.5,0.152,,0
C102998,여,28,부산,앱스토어,33,Basic,9900,간편결제,0,6,1.8,26300,1562200,12,1,3.1,0.491,0.543,0
C102999,여,40,경기,지인추천,17,Basic,9900,계좌이체,1,17,2.0,30200,1026800,0,1,4.7,0.171,0.659,0
C103000,남,36,부산,검색광고,5,Standard,19900,신용카드,0,19,2.0,24800,248000,20,0,2.9,0.681,0.818,0
C103001,여,29,광주,검색광고,23,Standard,19900,신용카드,1,21,2.4,41300,2279800,0,2,2.5,0.349,0.95,0
C103002,남,58,경기,앱스토어,12,Basic,9900,신용카드,0,16,3.5,18900,793800,29,3,3.3,0.493,,0
C103003,남,49,경기,검색광고,16,Basic,9900,간편결제,1,11,5.3,32900,2789900,16,1,4.9,0.578,0.867,0
C103004,여,27,경기,지인추천,24,Basic,9900,간편결제,1,6,1.5,47800,1720800,24,0,4.6,0.465,0.895,0
C103005,여,39,대구,SNS,31,Basic,9900,체크카드,1,15,1.9,44300,2609300,2,0,3.6,0.398,0.902,0
C103006,여,48,광주,검색광고,6,Basic,9900,신용카드,1,10,4.3,16500,425700,25,1,3.0,0.245,0.844,0
C103007,여,27,경기,검색광고,20,Premium,34900,체크카드,1,17,4.0,39000,3120000,9,1,2.0,0.475,,0
C103008,남,43,서울,검색광고,37,Basic,9900,간편결제,0,19,3.3,50100,6117200,22,2,2.4,0.276,0.543,0
C103009,여,26,인천,검색광고,14,Standard,19900,신용카드,1,13,5.0,45200,3164000,0,2,4.8,0.244,0.898,0
C103010,여,19,부산,검색광고,45,Basic,9900,신용카드,1,12,0.7,23700,746600,30,1,4.2,0.319,0.637,0
C103011,남,24,기타,제휴몰,5,Premium,34900,신용카드,1,15,2.9,24400,353800,1,5,2.5,0.335,0.692,1
C103012,남,29,기타,SNS,24,Basic,9900,간편결제,1,18,2.1,45000,2268000,1,0,4.8,0.222,0.942,0
C103013,여,33,인천,제휴몰,15,Premium,34900,신용카드,1,0,2.3,51700,1783600,77,4,1.3,0.449,0.252,1
C103014,여,32,경기,지인추천,32,Basic,9900,계좌이체,0,13,0.7,31900,714600,30,1,5.0,0.321,0.663,0
C103015,남,38,기타,제휴몰,14,Premium,34900,체크카드,1,21,3.7,29400,1522900,38,0,3.5,0.152,0.69,0
C103016,여,20,인천,지인추천,2,Premium,34900,체크카드,1,6,3.6,32500,234000,0,0,4.0,0.186,0.709,0
C103017,여,49,인천,SNS,11,Standard,19900,체크카드,1,22,4.0,37500,1650000,24,3,3.7,0.436,0.847,0
C103018,여,23,서울,SNS,2,Premium,34900,체크카드,0,15,6.1,47900,584400,24,3,2.7,0.191,0.824,1
C103019,여,44,기타,제휴몰,6,Standard,19900,간편결제,1,5,1.3,38800,302600,44,0,3.5,0.124,0.946,0
C103020,남,43,대구,검색광고,16,Premium,34900,체크카드,0,7,9.8,45200,7087400,0,4,3.3,0.179,0.757,0
C103021,남,34,경기,검색광고,12,Basic,9900,간편결제,0,16,3.5,44200,1856400,11,2,3.0,0.579,0.697,0
C103022,여,41,경기,검색광고,8,Basic,9900,체크카드,1,14,2.4,38800,745000,80,2,3.1,0.266,0.573,1
C103023,여,30,대구,검색광고,9,Standard,19900,간편결제,0,22,3.3,42800,1271200,10,2,2.6,0.385,0.602,1
C103024,남,53,서울,SNS,22,Premium,34900,간편결제,1,34,4.1,50100,4519000,0,2,3.8,0.233,0.876,0
C103025,여,23,기타,앱스토어,17,Standard,19900,신용카드,1,8,3.1,23500,1238400,6,0,3.2,0.258,0.436,0
C103026,여,41,광주,제휴몰,21,Premium,34900,간편결제,1,14,4.0,30400,2553600,15,1,3.8,0.241,0.571,0
C103027,여,32,대구,제휴몰,5,Standard,19900,신용카드,0,17,1.7,38200,324700,45,0,,,0.887,1
C103028,여,44,서울,SNS,23,Standard,19900,신용카드,0,21,1.4,5900,190000,19,0,4.2,0.114,0.522,0
C103029,남,31,경기,검색광고,28,Basic,9900,간편결제,0,7,1.2,25800,866900,49,1,3.0,0.328,0.792,1
C103030,남,42,부산,검색광고,14,Premium,34900,신용카드,1,31,6.1,64200,5482700,0,2,,0.159,,0
C103031,남,41,대구,SNS,17,Premium,34900,체크카드,1,20,4.6,36000,2815200,0,5,3.4,0.167,0.293,0
C103032,여,52,대구,검색광고,13,Standard,19900,신용카드,0,23,1.6,28100,584500,79,3,1.7,,0.788,0
C103033,남,19,서울,지인추천,13,Basic,9900,체크카드,1,11,1.9,30200,745900,2,2,4.4,0.447,0.702,0
C103034,남,41,기타,앱스토어,37,Basic,9900,신용카드,1,15,3.9,39400,5685400,0,0,3.7,0.265,0.864,0
C103035,여,28,경기,검색광고,12,Standard,19900,신용카드,0,14,0.8,36500,350400,24,1,3.2,0.522,0.661,0
C103036,남,31,경기,검색광고,20,Premium,34900,체크카드,0,36,3.5,48400,3388000,14,0,3.3,0.339,0.634,0
C103037,남,56,서울,SNS,18,Basic,9900,신용카드,0,17,1.7,20100,615100,48,3,1.9,0.451,,1
C103038,여,27,기타,SNS,17,Standard,19900,신용카드,0,14,2.8,38000,1808800,11,1,3.8,0.154,0.691,0
C103039,여,34,대전,지인추천,5,Standard,19900,간편결제,1,18,3.1,47500,736200,63,2,2.7,0.27,0.844,0
C103040,여,55,기타,검색광고,48,Basic,9900,신용카드,0,12,6.1,27900,8169100,71,1,2.9,0.442,0.746,1
C103041,남,37,서울,SNS,10,Standard,19900,신용카드,1,25,4.9,16900,828100,0,3,2.5,0.051,0.601,0
C103042,남,22,부산,검색광고,14,Basic,9900,간편결제,1,7,1.2,41000,688800,41,3,3.5,0.273,0.53,0
C103043,여,48,서울,SNS,7,Premium,34900,간편결제,0,13,2.4,61300,1029800,11,0,4.8,0.41,0.728,0
C103044,남,29,기타,앱스토어,6,Premium,34900,간편결제,1,17,2.5,38800,582000,66,1,3.3,0.463,0.653,0
C103045,남,31,경기,검색광고,9,Premium,34900,신용카드,1,9,3.5,48400,1524600,0,3,2.7,,0.687,0
C103046,여,44,서울,검색광고,4,Basic,9900,계좌이체,0,16,2.7,37200,401800,13,1,3.6,0.203,0.616,0
C103047,남,25,기타,검색광고,23,Standard,19900,체크카드,1,15,1.3,16800,502300,15,1,,0.541,0.874,0
C103048,남,30,대전,SNS,21,Premium,34900,신용카드,0,16,7.0,32200,4733400,13,2,1.8,0.181,0.639,0
C103049,여,48,대구,SNS,3,Premium,34900,신용카드,0,32,5.0,40000,600000,9,0,4.3,0.121,0.657,0
C103050,남,41,인천,앱스토어,1,Basic,9900,체크카드,1,14,3.3,19900,65700,1,2,3.2,0.362,0.969,0
C103051,여,26,경기,제휴몰,8,Standard,19900,계좌이체,1,10,5.2,27000,1123200,0,2,2.8,0.329,0.582,0
C103052,여,23,서울,제휴몰,4,Basic,9900,간편결제,0,16,4.3,34800,598600,21,0,3.0,0.466,0.882,0
C103053,남,25,대전,SNS,3,Premium,34900,신용카드,1,21,2.7,43200,349900,18,0,3.0,0.203,0.848,0
C103054,여,22,기타,지인추천,19,Basic,9900,간편결제,0,24,5.6,58300,6203100,7,1,,0.127,0.65,1
C103055,남,38,인천,앱스토어,5,Basic,9900,간편결제,1,16,2.5,29100,363800,1,1,4.0,0.207,0.572,0
C103056,여,49,대전,앱스토어,16,Basic,9900,체크카드,1,17,2.6,36000,1497600,7,2,3.3,0.387,0.708,0
C103057,여,50,경기,검색광고,10,Standard,19900,신용카드,1,15,1.3,16500,214500,99,1,2.8,0.155,0.735,1
C103058,여,36,서울,검색광고,19,Standard,19900,간편결제,1,19,5.6,43100,4585800,113,3,1.7,0.271,0.459,1
C103059,남,34,경기,제휴몰,16,Basic,9900,계좌이체,1,0,2.0,14500,464000,69,1,1.0,0.186,0.948,1
C103060,남,46,서울,검색광고,9,Basic,9900,신용카드,0,12,3.1,35400,987700,13,3,1.7,0.163,0.737,1
