고객ID,Recency,Frequency,Monetary,R점수,F점수,M점수,RFM합계,군집,이탈여부,세그먼트
C101728,50,37.8,907200,1,3,3,7,2,0,일반 유지고객
C101729,9,37.8,956300,4,3,3,10,0,0,휴면/이탈위험
C101730,71,8.4,404900,1,1,1,3,2,1,일반 유지고객
C101731,0,6.8,148200,5,1,1,7,0,0,휴면/이탈위험
C101732,0,4.8,129600,5,1,1,7,0,1,휴면/이탈위험
C101733,2,45.9,504900,4,4,2,10,0,0,휴면/이탈위험
C101734,19,24.0,732000,3,2,2,7,0,1,휴면/이탈위험
C101735,37,28.5,1302400,2,3,3,8,2,0,일반 유지고객
C101736,0,46.8,1371200,5,4,3,12,0,0,휴면/이탈위험
C101737,18,15.6,711400,3,2,2,7,0,0,휴면/이탈위험
C101738,58,77.0,2579500,1,5,5,11,2,0,일반 유지고객
C101739,9,151.8,8045400,4,5,5,14,1,0,VIP 충성고객
C101740,10,49.3,1045200,4,4,3,11,0,1,휴면/이탈위험
C101741,81,16.0,233600,1,2,1,4,2,1,일반 유지고객
C101742,3,19.8,297000,4,2,1,7,0,0,휴면/이탈위험
C101743,14,5.6,169100,3,1,1,5,0,0,휴면/이탈위험
C101744,33,14.3,519100,2,1,2,5,0,1,휴면/이탈위험
C101745,20,6.5,180000,3,1,1,5,0,0,휴면/이탈위험
C101746,0,10.8,490300,5,1,2,8,0,0,휴면/이탈위험
C101747,25,31.5,812700,2,3,3,8,0,0,휴면/이탈위험
C101748,6,9.0,470700,4,1,2,7,0,0,휴면/이탈위험
C101749,39,43.4,2078900,1,3,4,8,2,1,일반 유지고객
C101750,25,64.0,2444800,2,4,4,10,3,0,성장 잠재고객
C101751,36,29.7,864300,2,3,3,8,2,1,일반 유지고객
C101752,23,9.6,368600,2,1,1,4,0,0,휴면/이탈위험
C101753,50,54.6,2227700,1,4,4,9,2,1,일반 유지고객
C101754,39,7.7,338000,1,1,1,3,2,1,일반 유지고객
C101755,32,76.8,1973800,2,5,4,11,3,0,성장 잠재고객
C101756,38,9.9,379200,2,1,1,4,2,0,일반 유지고객
C101757,32,18.2,418600,2,2,2,6,0,0,휴면/이탈위험
C101758,56,63.0,1694700,1,4,4,9,2,0,일반 유지고객
C101759,17,11.0,408100,3,1,1,5,0,0,휴면/이탈위험
C101760,0,170.8,6524600,5,5,5,15,1,0,VIP 충성고객
C101761,9,6.4,227800,4,1,1,6,0,1,휴면/이탈위험
C101762,61,18.5,788100,1,2,2,5,2,1,일반 유지고객
C101763,16,3.0,68400,3,1,1,5,0,0,휴면/이탈위험
C101764,19,32.0,1353600,3,3,3,9,0,0,휴면/이탈위험
C101765,21,53.2,1494900,3,4,4,11,0,0,휴면/이탈위험
C101766,29,9.9,376200,2,1,1,4,0,0,휴면/이탈위험
C101767,74,8.0,316800,1,1,1,3,2,1,일반 유지고객
C101768,12,8.4,375500,3,1,1,5,0,0,휴면/이탈위험
C101769,0,14.4,567400,5,1,2,8,0,1,휴면/이탈위험
C101770,0,40.8,2219500,5,3,4,12,0,0,휴면/이탈위험
C101771,66,48.3,1936800,1,4,4,9,2,1,일반 유지고객
C101772,12,3.0,75300,3,1,1,5,0,0,휴면/이탈위험
C101773,29,49.4,538500,2,4,2,8,0,0,휴면/이탈위험
C101774,29,58.8,1769900,2,4,4,10,0,0,휴면/이탈위험
C101775,46,3.1,34700,1,1,1,3,2,0,일반 유지고객
C101776,0,172.0,10973600,5,5,5,15,1,0,VIP 충성고객
C101777,20,122.4,5042900,3,5,5,13,3,0,성장 잠재고객
C101778,22,28.9,1202200,2,3,3,8,0,0,휴면/이탈위험
C101779,12,20.0,658000,3,2,2,7,0,0,휴면/이탈위험
C101780,0,18.7,389000,5,2,1,8,0,1,휴면/이탈위험
C101781,56,17.1,709600,1,2,2,5,2,0,일반 유지고객
C101782,0,53.9,3072300,5,4,5,14,3,0,성장 잠재고객
C101783,53,21.0,581700,1,2,2,5,2,0,일반 유지고객
C101784,3,415.4,13749700,4,5,5,14,1,0,VIP 충성고객
C101785,2,34.3,987800,4,3,3,10,0,0,휴면/이탈위험
C101786,9,66.0,330000,4,4,1,9,0,0,휴면/이탈위험
C101787,0,48.0,2606400,5,4,5,14,3,0,성장 잠재고객
C101788,40,48.6,972000,1,4,3,8,2,0,일반 유지고객
C101789,39,34.0,615400,1,3,2,6,2,1,일반 유지고객
C101790,19,5.2,127400,3,1,1,5,0,0,휴면/이탈위험
C101791,18,52.0,1955200,3,4,4,11,0,0,휴면/이탈위험
C101792,0,88.0,3924800,5,5,5,15,3,0,성장 잠재고객
C101793,41,37.4,2277700,1,3,4,8,2,0,일반 유지고객
C101794,0,37.8,865600,5,3,3,11,0,0,휴면/이탈위험
C101795,56,20.8,894400,1,2,3,6,2,0,일반 유지고객
C101796,0,70.0,2639000,5,4,5,14,3,0,성장 잠재고객
C101797,7,42.9,2539700,4,3,4,11,0,0,휴면/이탈위험
C101798,28,27.3,999200,2,3,3,8,0,0,휴면/이탈위험
C101799,23,38.0,1523800,2,3,4,9,0,0,휴면/이탈위험
C101800,23,47.5,1325200,2,4,3,9,0,0,휴면/이탈위험
C101801,0,13.5,453600,5,1,2,8,0,0,휴면/이탈위험
C101802,7,52.0,2251600,4,4,4,12,0,0,휴면/이탈위험
C101803,28,20.0,860000,2,2,3,7,0,1,휴면/이탈위험
C101804,6,17.6,195400,4,2,1,7,0,0,휴면/이탈위험
C101805,4,91.8,2552000,4,5,4,13,3,0,성장 잠재고객
C101806,41,16.5,801900,1,2,2,5,2,0,일반 유지고객
C101807,44,69.0,1662900,1,4,4,9,2,0,일반 유지고객
C101808,18,27.0,958500,3,2,3,8,0,0,휴면/이탈위험
C101809,0,77.0,3480400,5,5,5,15,3,0,성장 잠재고객
C101810,14,35.0,1550500,3,3,4,10,0,0,휴면/이탈위험
C101811,28,30.0,684000,2,3,2,7,0,0,휴면/이탈위험
C101812,65,10.0,425000,1,1,2,4,2,1,일반 유지고객
C101813,23,106.0,4028000,2,5,5,12,3,0,성장 잠재고객
C101814,56,15.6,536600,1,2,2,5,2,0,일반 유지고객
C101815,24,14.4,277900,2,1,1,4,0,0,휴면/이탈위험
C101816,6,37.4,1125700,4,3,3,10,0,0,휴면/이탈위험
C101817,14,12.0,541200,3,1,2,6,0,1,휴면/이탈위험
C101818,2,31.0,868000,4,3,3,10,0,0,휴면/이탈위험
C101819,15,19.8,556400,3,2,2,7,0,0,휴면/이탈위험
C101820,36,25.5,515100,2,2,2,6,2,1,일반 유지고객
C101821,59,37.8,790000,1,3,2,6,2,1,일반 유지고객
C101822,24,10.8,521600,2,1,2,5,0,0,휴면/이탈위험
C101823,7,18.0,588600,4,2,2,8,0,0,휴면/이탈위험
C101824,0,25.2,1023100,5,2,3,10,0,0,휴면/이탈위험
C101825,26,16.1,80500,2,2,1,5,0,0,휴면/이탈위험
C101826,73,62.1,2012000,1,4,4,9,2,1,일반 유지고객
C101827,6,176.3,7563300,4,5,5,14,1,0,VIP 충성고객
C101828,0,1.4,40700,5,1,1,7,0,0,휴면/이탈위험
C101829,0,142.1,4376700,5,5,5,15,3,0,성장 잠재고객
C101830,22,36.8,1251200,2,3,3,8,0,0,휴면/이탈위험
C101831,31,24.0,916800,2,2,3,7,0,0,휴면/이탈위험
C101832,6,19.0,771400,4,2,2,8,0,0,휴면/이탈위험
C101833,71,90.2,2796200,1,5,5,11,2,0,일반 유지고객
C101834,0,66.0,1161600,5,4,3,12,0,1,휴면/이탈위험
C101835,85,5.4,198200,1,1,1,3,2,1,일반 유지고객
C101836,0,55.2,2174900,5,4,4,13,0,0,휴면/이탈위험
C101837,0,75.6,2578000,5,5,5,15,3,0,성장 잠재고객
C101838,15,36.0,1713600,3,3,4,10,0,0,휴면/이탈위험
C101839,3,16.5,419100,4,2,2,8,0,0,휴면/이탈위험
C101840,9,50.4,2827400,4,4,5,13,3,1,성장 잠재고객
C101841,19,124.2,3527300,3,5,5,13,3,0,성장 잠재고객
C101842,0,10.5,138600,5,1,1,7,0,1,휴면/이탈위험
C101843,0,37.4,549800,5,3,2,10,0,0,휴면/이탈위험
C101844,14,20.8,671800,3,2,2,7,0,0,휴면/이탈위험
C101845,36,202.0,9292000,2,5,5,12,1,1,VIP 충성고객
C101846,17,59.8,1435200,3,4,4,11,0,0,휴면/이탈위험
C101847,0,13.2,211200,5,1,1,7,0,0,휴면/이탈위험
C101848,3,84.0,2108400,4,5,4,13,3,0,성장 잠재고객
C101849,1,246.4,8969000,5,5,5,15,1,0,VIP 충성고객
C101850,21,102.6,5140300,3,5,5,13,3,0,성장 잠재고객
C101851,45,18.9,478200,1,2,2,5,2,0,일반 유지고객
C101852,15,36.0,1422000,3,3,4,10,0,1,휴면/이탈위험
C101853,12,30.8,917800,3,3,3,9,0,1,휴면/이탈위험
C101854,9,64.4,759900,4,4,2,10,0,1,휴면/이탈위험
C101855,8,19.8,386100,4,2,1,7,0,0,휴면/이탈위험
C101856,0,70.0,2373000,5,4,4,13,3,0,성장 잠재고객
C101857,21,140.0,2422000,3,5,4,12,3,1,성장 잠재고객
C101858,0,107.3,1641700,5,5,4,14,3,0,성장 잠재고객
C101859,8,74.0,2678800,4,4,5,13,3,0,성장 잠재고객
C101860,20,35.2,1418600,3,3,4,10,0,1,휴면/이탈위험
C101861,38,14.4,479500,2,1,2,5,2,1,일반 유지고객
C101862,0,39.1,754600,5,3,2,10,0,0,휴면/이탈위험
C101863,13,33.6,1673300,3,3,4,10,0,0,휴면/이탈위험
C101864,0,64.4,2588900,5,4,5,14,3,0,성장 잠재고객
C101865,43,3.6,103000,1,1,1,3,2,0,일반 유지고객
C101866,17,81.6,2709100,3,5,5,13,3,0,성장 잠재고객
C101867,22,106.6,3912200,2,5,5,12,3,1,성장 잠재고객
C101868,0,69.3,3603600,5,4,5,14,3,0,성장 잠재고객
C101869,38,16.0,681600,2,2,2,6,2,0,일반 유지고객
C101870,2,18.0,1119600,4,2,3,9,0,0,휴면/이탈위험
C101871,0,58.8,2158000,5,4,4,13,3,0,성장 잠재고객
C101872,29,27.0,1231200,2,2,3,7,0,0,휴면/이탈위험
C101873,58,22.4,925100,1,2,3,6,2,0,일반 유지고객
C101874,8,13.6,272000,4,1,1,6,0,0,휴면/이탈위험
C101875,0,78.0,3993600,5,5,5,15,3,0,성장 잠재고객
C101876,21,31.2,1369700,3,3,3,9,0,0,휴면/이탈위험
C101877,39,13.2,489700,1,1,2,4,2,1,일반 유지고객
C101878,16,5.5,156800,3,1,1,5,0,0,휴면/이탈위험
C101879,0,35.2,823700,5,3,3,11,0,1,휴면/이탈위험
C101880,1,45.9,1377000,5,4,3,12,0,0,휴면/이탈위험
C101881,17,70.4,2147200,3,4,4,11,3,0,성장 잠재고객
C101882,54,22.0,413600,1,2,2,5,2,1,일반 유지고객
C101883,50,18.9,720100,1,2,2,5,2,0,일반 유지고객
C101884,20,24.0,1137600,3,2,3,8,0,0,휴면/이탈위험
C101885,82,30.8,1355200,1,3,3,7,2,1,일반 유지고객
C101886,59,15.4,466600,1,2,2,5,2,1,일반 유지고객
C101887,54,44.0,1438800,1,3,4,8,2,0,일반 유지고객
C101888,25,57.6,2482600,2,4,4,10,3,1,성장 잠재고객
C101889,6,37.7,738900,4,3,2,9,0,0,휴면/이탈위험
C101890,17,16.8,537600,3,2,2,7,0,1,휴면/이탈위험
C101891,5,17.1,314600,4,2,1,7,0,0,휴면/이탈위험
C101892,16,54.0,2176200,3,4,4,11,0,0,휴면/이탈위험
C101893,19,12.6,486400,3,1,2,6,0,1,휴면/이탈위험
C101894,32,36.0,1162800,2,3,3,8,0,0,휴면/이탈위험
C101895,33,23.0,611800,2,2,2,6,0,0,휴면/이탈위험
C101896,19,55.0,2953500,3,4,5,12,3,0,성장 잠재고객
C101897,16,22.4,916200,3,2,3,8,0,0,휴면/이탈위험
C101898,19,20.9,349000,3,2,1,6,0,0,휴면/이탈위험
C101899,53,109.5,4040600,1,5,5,11,3,1,성장 잠재고객
C101900,14,20.4,695600,3,2,2,7,0,0,휴면/이탈위험
C101901,27,6.6,145200,2,1,1,4,0,0,휴면/이탈위험
C101902,0,23.1,757700,5,2,2,9,0,0,휴면/이탈위험
C101903,5,9.1,273900,4,1,1,6,0,0,휴면/이탈위험
C101904,1,20.7,434700,5,2,2,9,0,0,휴면/이탈위험
C101905,102,21.7,486100,1,2,2,5,2,0,일반 유지고객
C101906,5,14.3,430400,4,1,2,7,0,0,휴면/이탈위험
C101907,26,43.2,1499000,2,3,4,9,0,0,휴면/이탈위험
C101908,37,5.2,184600,2,1,1,4,2,0,일반 유지고객
C101909,34,45.6,1308700,2,4,3,9,0,0,휴면/이탈위험
C101910,7,46.4,700600,4,4,2,10,0,0,휴면/이탈위험
C101911,46,23.2,962800,1,2,3,6,2,0,일반 유지고객
C101912,19,11.5,288600,3,1,1,5,0,0,휴면/이탈위험
C101913,12,45.0,1071000,3,4,3,10,0,1,휴면/이탈위험
C101914,48,75.6,2812300,1,5,5,11,2,0,일반 유지고객
C101915,0,19.8,661300,5,2,2,9,0,0,휴면/이탈위험
C101916,45,39.6,1283000,1,3,3,7,2,1,일반 유지고객
C101917,2,9.9,100000,4,1,1,6,0,0,휴면/이탈위험
C101918,38,39.0,1341600,2,3,3,8,2,0,일반 유지고객
C101919,0,75.0,2430000,5,5,4,14,3,0,성장 잠재고객
C101920,23,25.5,619600,2,2,2,6,0,0,휴면/이탈위험
C101921,87,28.9,684900,1,3,2,6,2,1,일반 유지고객
C101922,68,11.6,299300,1,1,1,3,2,1,일반 유지고객
C101923,29,25.0,935000,2,2,3,7,0,1,휴면/이탈위험
C101924,87,97.5,2817800,1,5,5,11,2,0,일반 유지고객
C101925,73,40.0,620000,1,3,2,6,2,1,일반 유지고객
C101926,52,43.2,2259400,1,3,4,8,2,0,일반 유지고객
C101927,20,34.5,1173000,3,3,3,9,0,0,휴면/이탈위험
C101928,19,18.0,468000,3,2,2,7,0,0,휴면/이탈위험
C101929,13,12.6,499000,3,1,2,6,0,0,휴면/이탈위험
C101930,0,38.4,1056000,5,3,3,11,0,0,휴면/이탈위험
C101931,0,13.8,499600,5,1,2,8,0,0,휴면/이탈위험
C101932,27,40.8,1721800,2,3,4,9,0,0,휴면/이탈위험
C101933,31,45.6,1121800,2,4,3,9,0,0,휴면/이탈위험
C101934,24,62.9,2012800,2,4,4,10,3,0,성장 잠재고객
C101935,15,24.8,1034200,3,2,3,8,0,1,휴면/이탈위험
C101936,22,64.0,2425600,2,4,4,10,3,0,성장 잠재고객
C101937,21,96.0,2601600,3,5,5,13,3,1,성장 잠재고객
C101938,67,67.2,4153000,1,4,5,10,2,0,일반 유지고객
C101939,32,26.0,743600,2,2,2,6,0,0,휴면/이탈위험
C101940,1,63.0,2557800,5,4,4,13,3,0,성장 잠재고객
C101941,36,120.0,3252000,2,5,5,12,3,0,성장 잠재고객
C101942,15,16.1,647200,3,2,2,7,0,0,휴면/이탈위험
C101943,32,46.8,1184000,2,4,3,9,0,0,휴면/이탈위험
C101944,12,23.1,695300,3,2,2,7,0,1,휴면/이탈위험
C101945,55,1.0,11700,1,1,1,3,2,1,일반 유지고객
C101946,3,32.5,1251200,4,3,3,10,0,0,휴면/이탈위험
C101947,31,96.2,3665200,2,5,5,12,3,0,성장 잠재고객
C101948,23,105.6,3590400,2,5,5,12,3,0,성장 잠재고객
C101949,35,15.6,432100,2,2,2,6,0,0,휴면/이탈위험
C101950,59,57.2,2905800,1,4,5,10,2,0,일반 유지고객
C101951,4,86.4,2920300,4,5,5,14,3,0,성장 잠재고객
C101952,15,14.0,483000,3,1,2,6,0,0,휴면/이탈위험
C101953,41,50.6,1725500,1,4,4,9,2,0,일반 유지고객
C101954,18,25.0,1135000,3,2,3,8,0,0,휴면/이탈위험
C101955,48,40.8,2068600,1,3,4,8,2,0,일반 유지고객
C101956,1,157.5,2913800,5,5,5,15,3,0,성장 잠재고객
C101957,15,58.3,2005500,3,4,4,11,0,0,휴면/이탈위험
C101958,6,75.6,1822000,4,5,4,13,3,0,성장 잠재고객
C101959,3,140.7,6528500,4,5,5,14,1,0,VIP 충성고객
C101960,15,57.4,1836800,3,4,4,11,0,0,휴면/이탈위험
C101961,32,5.0,183000,2,1,1,4,0,0,휴면/이탈위험
C101962,9,17.6,499800,4,2,2,8,0,1,휴면/이탈위험
C101963,0,30.1,1818000,5,3,4,12,0,0,휴면/이탈위험
C101964,55,57.6,1353600,1,4,3,8,2,0,일반 유지고객
C101965,72,57.6,1497600,1,4,4,9,2,1,일반 유지고객
C101966,0,14.4,495400,5,1,2,8,0,0,휴면/이탈위험
C101967,0,79.2,1861200,5,5,4,14,3,0,성장 잠재고객
C101968,0,69.3,346500,5,4,1,10,0,0,휴면/이탈위험
C101969,0,86.8,1527700,5,5,4,14,3,0,성장 잠재고객
C101970,30,28.9,164700,2,3,1,6,0,0,휴면/이탈위험
C101971,5,150.8,5670100,4,5,5,14,1,0,VIP 충성고객
C101972,60,30.6,1227100,1,3,3,7,2,1,일반 유지고객
C101973,43,19.2,337900,1,2,1,4,2,0,일반 유지고객
C101974,25,10.5,144900,2,1,1,4,0,0,휴면/이탈위험
C101975,37,42.0,1226400,2,3,3,8,2,0,일반 유지고객
C101976,7,46.5,1074200,4,4,3,11,0,0,휴면/이탈위험
C101977,0,23.1,663000,5,2,2,9,0,0,휴면/이탈위험
C101978,22,75.2,4023200,2,5,5,12,3,0,성장 잠재고객
C101979,8,130.0,6422000,4,5,5,14,1,0,VIP 충성고객
C101980,23,11.9,358200,2,1,1,4,0,0,휴면/이탈위험
C101981,62,15.0,570000,1,2,2,5,2,1,일반 유지고객
C101982,17,39.1,1317700,3,3,3,9,0,0,휴면/이탈위험
C101983,31,18.0,419400,2,2,2,6,0,0,휴면/이탈위험
C101984,21,16.8,727400,3,2,2,7,0,1,휴면/이탈위험
C101985,7,105.0,3066000,4,5,5,14,3,0,성장 잠재고객
C101986,2,62.7,1385700,4,4,3,11,0,0,휴면/이탈위험
C101987,46,37.8,1020600,1,3,3,7,2,0,일반 유지고객
C101988,13,60.0,1710000,3,4,4,11,0,0,휴면/이탈위험
C101989,45,24.8,962200,1,2,3,6,2,1,일반 유지고객
C101990,45,20.4,820100,1,2,3,6,2,0,일반 유지고객
C101991,25,32.5,815800,2,3,3,8,0,0,휴면/이탈위험
C101992,5,12.0,220800,4,1,1,6,0,0,휴면/이탈위험
C101993,43,83.2,3436200,1,5,5,11,3,0,성장 잠재고객
C101994,11,18.2,658800,4,2,2,8,0,0,휴면/이탈위험
C101995,10,18.5,834400,4,2,3,9,0,0,휴면/이탈위험
C101996,10,18.2,427700,4,2,2,8,0,0,휴면/이탈위험
C101997,22,18.4,710200,2,2,2,6,0,0,휴면/이탈위험
C101998,47,27.0,656100,1,2,2,5,2,1,일반 유지고객
C101999,5,86.7,1439200,4,5,4,13,3,0,성장 잠재고객
C102000,0,72.5,2160500,5,4,4,13,3,0,성장 잠재고객
C102001,24,42.0,1990800,2,3,4,9,0,0,휴면/이탈위험
C102002,22,9.6,209300,2,1,1,4,0,1,휴면/이탈위험
C102003,5,18.4,920000,4,2,3,9,0,0,휴면/이탈위험
C102004,17,44.2,1153600,3,4,3,10,0,0,휴면/이탈위험
C102005,24,49.5,1598800,2,4,4,10,0,0,휴면/이탈위험
C102006,9,12.6,443500,4,1,2,7,0,0,휴면/이탈위험
C102007,0,119.7,4357100,5,5,5,15,3,0,성장 잠재고객
C102008,0,72.0,2563200,5,4,5,14,3,0,성장 잠재고객
C102009,49,81.6,1901300,1,5,4,10,2,0,일반 유지고객
C102010,0,170.8,5858400,5,5,5,15,1,0,VIP 충성고객
C102011,47,22.8,1459200,1,2,4,7,2,0,일반 유지고객
C102012,1,40.5,1385100,5,3,3,11,0,0,휴면/이탈위험
C102013,5,38.0,1349000,4,3,3,10,0,0,휴면/이탈위험
C102014,108,27.6,952200,1,3,3,7,2,0,일반 유지고객
C102015,52,20.8,728000,1,2,2,5,2,1,일반 유지고객
C102016,47,26.0,1079000,1,2,3,6,2,0,일반 유지고객
C102017,0,47.7,629600,5,4,2,11,0,0,휴면/이탈위험
C102018,0,39.0,854100,5,3,3,11,0,0,휴면/이탈위험
C102019,14,36.4,1084700,3,3,3,9,0,0,휴면/이탈위험
C102020,11,34.0,663000,4,3,2,9,0,0,휴면/이탈위험
C102021,0,61.0,2915800,5,4,5,14,3,0,성장 잠재고객
C102022,17,100.0,2980000,3,5,5,13,3,0,성장 잠재고객
C102023,78,25.0,1065000,1,2,3,6,2,1,일반 유지고객
C102024,14,81.6,995500,3,5,3,11,0,0,휴면/이탈위험
C102025,51,24.0,1276800,1,2,3,6,2,1,일반 유지고객
C102026,17,6.3,280400,3,1,1,5,0,0,휴면/이탈위험
C102027,7,55.0,1837000,4,4,4,12,0,1,휴면/이탈위험
C102028,20,43.7,2709400,3,3,5,11,3,0,성장 잠재고객
C102029,0,58.5,2369200,5,4,4,13,3,0,성장 잠재고객
C102030,19,26.6,1087900,3,2,3,8,0,0,휴면/이탈위험
C102031,27,66.0,3583800,2,4,5,11,3,1,성장 잠재고객
C102032,28,133.0,4801300,2,5,5,12,3,0,성장 잠재고객
C102033,22,84.0,1772400,2,5,4,11,3,1,성장 잠재고객
C102034,24,73.6,3172200,2,4,5,11,3,0,성장 잠재고객
C102035,29,41.0,2443600,2,3,4,9,0,0,휴면/이탈위험
C102036,0,10.8,518400,5,1,2,8,0,1,휴면/이탈위험
C102037,15,40.5,959900,3,3,3,9,0,0,휴면/이탈위험
C102038,9,56.7,2619500,4,4,5,13,3,0,성장 잠재고객
C102039,0,25.3,536400,5,2,2,9,0,0,휴면/이탈위험
C102040,0,45.1,2196400,5,4,4,13,0,0,휴면/이탈위험
C102041,28,14.5,255200,2,2,1,5,0,0,휴면/이탈위험
C102042,0,36.1,1151600,5,3,3,11,0,0,휴면/이탈위험
C102043,36,10.4,123800,2,1,1,4,2,0,일반 유지고객
C102044,57,35.2,609000,1,3,2,6,2,0,일반 유지고객
C102045,0,115.0,4082500,5,5,5,15,3,0,성장 잠재고객
C102046,13,240.0,11064000,3,5,5,13,1,0,VIP 충성고객
C102047,40,23.4,1024900,1,2,3,6,2,0,일반 유지고객
C102048,28,58.8,1746400,2,4,4,10,0,0,휴면/이탈위험
C102049,0,23.1,817700,5,2,3,10,0,0,휴면/이탈위험
C102050,27,33.6,709000,2,3,2,7,0,0,휴면/이탈위험
C102051,0,11.2,110900,5,1,1,7,0,0,휴면/이탈위험
C102052,0,9.9,326700,5,1,1,7,0,0,휴면/이탈위험
C102053,20,43.2,864000,3,3,3,9,0,0,휴면/이탈위험
C102054,14,43.2,1702100,3,3,4,10,0,1,휴면/이탈위험
C102055,7,41.4,1829900,4,3,4,11,0,0,휴면/이탈위험
C102056,63,28.6,786500,1,3,2,6,2,0,일반 유지고객
C102057,10,79.5,1916000,4,5,4,13,3,0,성장 잠재고객
C102058,4,26.1,798700,4,2,2,8,0,0,휴면/이탈위험
C102059,24,117.6,3751400,2,5,5,12,3,0,성장 잠재고객
C102060,0,57.2,2425300,5,4,4,13,3,0,성장 잠재고객
C102061,32,31.5,560700,2,3,2,7,0,1,휴면/이탈위험
C102062,21,29.9,771400,3,3,2,8,0,0,휴면/이탈위험
C102063,0,77.4,2066600,5,5,4,14,3,0,성장 잠재고객
C102064,13,33.0,735900,3,3,2,8,0,0,휴면/이탈위험
C102065,74,109.2,5023200,1,5,5,11,2,0,일반 유지고객
C102066,27,9.5,236600,2,1,1,4,0,0,휴면/이탈위험
C102067,0,133.3,3799000,5,5,5,15,3,0,성장 잠재고객
C102068,44,1.5,50200,1,1,1,3,2,0,일반 유지고객
C102069,1,10.8,480600,5,1,2,8,0,0,휴면/이탈위험
C102070,4,31.9,807100,4,3,2,9,0,0,휴면/이탈위험
C102071,0,22.0,415800,5,2,2,9,0,0,휴면/이탈위험
C102072,3,36.1,180500,4,3,1,8,0,0,휴면/이탈위험
C102073,0,37.8,1451500,5,3,4,12,0,0,휴면/이탈위험
C102074,64,77.0,3033800,1,5,5,11,2,0,일반 유지고객
C102075,14,67.5,2693200,3,4,5,12,3,0,성장 잠재고객
C102076,0,33.3,1012300,5,3,3,11,0,0,휴면/이탈위험
C102077,37,26.6,1295400,2,2,3,7,2,1,일반 유지고객
C102078,19,28.0,193200,3,3,1,7,0,1,휴면/이탈위험
C102079,47,50.4,252000,1,4,1,6,2,0,일반 유지고객
C102080,1,14.4,623500,5,1,2,8,0,0,휴면/이탈위험
C102081,15,29.6,1903300,3,3,4,10,0,0,휴면/이탈위험
C102082,79,79.2,2534400,1,5,4,10,2,1,일반 유지고객
C102083,11,29.4,652700,4,3,2,9,0,0,휴면/이탈위험
C102084,35,0.2,10400,2,1,1,4,0,0,휴면/이탈위험
C102085,0,15.6,553800,5,2,2,9,0,0,휴면/이탈위험
C102086,16,18.0,765000,3,2,2,7,0,0,휴면/이탈위험
C102087,0,10.4,149800,5,1,1,7,0,0,휴면/이탈위험
C102088,13,65.6,3549000,3,4,5,12,3,0,성장 잠재고객
C102089,2,17.6,830700,4,2,3,9,0,0,휴면/이탈위험
C102090,58,85.5,3402900,1,5,5,11,2,1,일반 유지고객
C102091,32,15.6,805000,2,2,2,6,0,0,휴면/이탈위험
C102092,13,50.4,1527100,3,4,4,11,0,0,휴면/이탈위험
C102093,6,119.7,3255800,4,5,5,14,3,1,성장 잠재고객
C102094,30,58.0,2354800,2,4,4,10,3,0,성장 잠재고객
C102095,29,52.8,1494200,2,4,4,10,0,1,휴면/이탈위험
C102096,0,20.0,578000,5,2,2,9,0,0,휴면/이탈위험
C102097,0,1.0,44200,5,1,1,7,0,0,휴면/이탈위험
C102098,16,31.5,453600,3,3,2,8,0,0,휴면/이탈위험
C102099,13,66.7,3114900,3,4,5,12,3,0,성장 잠재고객
C102100,0,19.6,813400,5,2,3,10,0,0,휴면/이탈위험
C102101,1,14.4,780500,5,1,2,8,0,0,휴면/이탈위험
C102102,5,25.0,742500,4,2,2,8,0,0,휴면/이탈위험
C102103,16,117.8,3887400,3,5,5,13,3,0,성장 잠재고객
C102104,4,9.9,285100,4,1,1,6,0,0,휴면/이탈위험
C102105,19,67.0,4107100,3,4,5,12,3,0,성장 잠재고객
C102106,22,84.0,2259600,2,5,4,11,3,0,성장 잠재고객
C102107,13,6.0,293400,3,1,1,5,0,0,휴면/이탈위험
C102108,40,50.0,1540000,1,4,4,9,2,1,일반 유지고객
C102109,39,20.4,536500,1,2,2,5,2,0,일반 유지고객
C102110,95,18.8,904300,1,2,3,6,2,0,일반 유지고객
C102111,35,9.0,330300,2,1,1,4,0,1,휴면/이탈위험
C102112,14,67.2,2956800,3,4,5,12,3,0,성장 잠재고객
C102113,7,61.1,1955200,4,4,4,12,0,0,휴면/이탈위험
C102114,0,33.3,862500,5,3,3,11,0,0,휴면/이탈위험
C102115,11,21.0,886200,4,2,3,9,0,0,휴면/이탈위험
C102116,0,7.6,226500,5,1,1,7,0,0,휴면/이탈위험
C102117,15,26.0,1255800,3,2,3,8,0,0,휴면/이탈위험
C102118,0,186.3,9426800,5,5,5,15,1,0,VIP 충성고객
C102119,20,40.6,1441300,3,3,4,10,0,0,휴면/이탈위험
C102120,7,34.4,1420700,4,3,4,11,0,0,휴면/이탈위험
C102121,48,9.9,383100,1,1,1,3,2,1,일반 유지고객
C102122,48,28.8,1114600,1,3,3,7,2,1,일반 유지고객
C102123,15,174.0,1165800,3,5,3,11,3,0,성장 잠재고객
C102124,2,21.6,1019500,4,2,3,9,0,0,휴면/이탈위험
C102125,0,28.5,1422200,5,3,4,12,0,0,휴면/이탈위험
C102126,18,136.8,5950800,3,5,5,13,1,0,VIP 충성고객
C102127,24,88.2,2249100,2,5,4,11,3,0,성장 잠재고객
